"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,2012,925,842,1813,4320
"Elochoman_Skamokawa",2010,2557,806,1356,2413,4474
"Abernathy",2010,74,15,47,73,108
"Abernathy_Above AFTC",2010,37,18,13,33,80
"Mill",2010,36,24,9,30,100
"Germany",2010,28,20,6,24,79
"Coal",2010,24,25,4,17,80
"Upper Cowlitz and Cispus",2010,19301,280,18739,19308,19813
"Tilton",2010,2038,146,1736,2044,2299
"Lower Cowlitz",2010,318,275,37,244,1047
"Delameter_Above Weir",2010,21,45,0,7,126
"Lacamas_Above Weir",2010,1261,4997,4,198,9584
"Olequa_Above Weir",2010,223,228,21,156,827
"Ostrander_Above Weir",2010,64,106,2,30,326
"Green",2010,1928,420,1266,1882,2884
"Upper NF Toutle",2010,0,0,0,0,2
"NF_MS Toutle",2010,566,1343,12,216,3015
"SF Toutle",2010,516,204,230,479,1005
"Coweeman",2010,404,172,153,377,817
"Kalama",2010,2260,2525,428,1535,8621
"Lower Lewis",2010,126,142,11,82,502
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,697,75,558,695,853
"EF Lewis",2010,499,302,132,426,1257
"Salmon Creek",2010,358,917,4,107,2265
"Washougal",2010,519,256,191,462,1159
"Lower Gorge",2010,213,105,79,189,482
"Duncan_Above Weir",2010,2,2,0,1,7
"Grays_Chinook",2011,4859,2432,1908,4346,10747
"Elochoman_Skamokawa",2011,1041,354,511,985,1919
"Abernathy",2011,61,14,37,60,91
"Abernathy_Above AFTC",2011,41,18,15,38,86
"Mill",2011,36,22,10,31,93
"Germany",2011,32,21,7,27,88
"Coal",2011,29,35,4,20,104
"Upper Cowlitz and Cispus",2011,11778,251,11242,11792,12225
"Tilton",2011,4356,230,3878,4366,4772
"Lower Cowlitz",2011,240,261,21,162,905
"Delameter_Above Weir",2011,7,12,0,3,41
"Lacamas_Above Weir",2011,697,3077,4,129,4506
"Olequa_Above Weir",2011,81,103,5,49,340
"Ostrander_Above Weir",2011,23,44,0,9,134
"Green",2011,113,72,23,96,298
"Upper NF Toutle",2011,0,0,0,0,0
"NF_MS Toutle",2011,304,444,19,180,1301
"SF Toutle",2011,231,179,41,183,705
"Coweeman",2011,218,114,66,196,493
"Kalama",2011,486,478,89,353,1726
"Lower Lewis",2011,143,103,34,116,409
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,308,24,264,307,356
"EF Lewis",2011,114,90,19,91,340
"Salmon Creek",2011,94,132,3,49,463
"Washougal",2011,72,56,12,57,214
"Lower Gorge",2011,81,67,12,64,254
"Duncan_Above Weir",2011,2,2,0,2,6
"Grays_Chinook",2012,396,213,122,348,948
"Elochoman_Skamokawa",2012,254,141,70,224,605
"Abernathy",2012,8,4,3,7,16
"Abernathy_Above AFTC",2012,6,3,2,5,13
"Mill",2012,4,3,1,3,11
"Germany",2012,4,3,1,3,11
"Coal",2012,4,6,0,3,19
"Upper Cowlitz and Cispus",2012,2215,69,2074,2218,2346
"Tilton",2012,3600,196,3183,3610,3948
"Lower Cowlitz",2012,702,959,55,408,3172
"Delameter_Above Weir",2012,7,13,0,3,36
"Lacamas_Above Weir",2012,450,1172,8,146,2817
"Olequa_Above Weir",2012,40,58,2,22,191
"Ostrander_Above Weir",2012,12,26,0,5,66
"Green",2012,148,85,35,130,356
"Upper NF Toutle",2012,0,0,0,0,0
"NF_MS Toutle",2012,271,223,45,207,845
"SF Toutle",2012,318,200,71,272,836
"Coweeman",2012,196,145,34,159,584
"Kalama",2012,259,153,87,222,640
"Lower Lewis",2012,62,60,9,45,220
"Upper NF Lewis",2012,132,11,111,132,156
"Cedar",2012,107,56,28,97,243
"EF Lewis",2012,293,191,66,243,798
"Salmon Creek",2012,75,82,4,48,305
"Washougal",2012,74,50,15,61,204
"Lower Gorge",2012,106,71,23,89,280
"Duncan_Above Weir",2012,11,7,2,9,30
"Grays_Chinook",2013,1548,446,894,1481,2579
"Elochoman_Skamokawa",2013,596,223,268,558,1134
"Abernathy",2013,36,14,14,34,69
"Abernathy_Above AFTC",2013,21,9,9,20,42
"Mill",2013,13,6,4,12,26
"Germany",2013,15,6,5,14,29
"Coal",2013,18,39,1,11,84
"Upper Cowlitz and Cispus",2013,5798,274,5210,5811,6295
"Tilton",2013,3736,247,3222,3745,4191
"Lower Cowlitz",2013,1368,567,592,1261,2744
"Delameter_Above Weir",2013,5,5,0,3,17
"Lacamas_Above Weir",2013,240,203,48,186,770
"Olequa_Above Weir",2013,20,15,3,16,59
"Ostrander_Above Weir",2013,4,4,0,3,15
"Green",2013,222,115,63,199,506
"Upper NF Toutle",2013,0,0,0,0,1
"NF_MS Toutle",2013,464,298,130,389,1217
"SF Toutle",2013,555,289,185,495,1272
"Coweeman",2013,637,293,224,585,1329
"Kalama",2013,369,209,124,319,877
"Lower Lewis",2013,278,211,65,225,828
"Upper NF Lewis",2013,6930,84,6765,6929,7103
"Cedar",2013,346,69,223,341,496
"EF Lewis",2013,312,161,101,277,716
"Salmon Creek",2013,48,60,3,29,215
"Washougal",2013,286,146,95,260,641
"Lower Gorge",2013,231,130,64,202,551
"Duncan_Above Weir",2013,2,2,0,2,7
"Grays_Chinook",2014,1955,499,1118,1897,3061
"Elochoman_Skamokawa",2014,2111,556,1255,2036,3398
"Abernathy",2014,146,23,106,145,195
"Abernathy_Above AFTC",2014,123,18,91,122,162
"Mill",2014,154,25,111,152,207
"Germany",2014,82,14,57,81,110
"Coal",2014,96,215,10,61,375
"Upper Cowlitz and Cispus",2014,22564,307,21924,22572,23120
"Tilton",2014,4877,150,4571,4881,5159
"Lower Cowlitz",2014,693,532,113,551,2061
"Delameter_Above Weir",2014,17,6,7,16,33
"Lacamas_Above Weir",2014,400,103,225,392,632
"Olequa_Above Weir",2014,253,63,147,246,389
"Ostrander_Above Weir",2014,31,10,16,30,54
"Green",2014,1259,317,745,1215,1983
"Upper NF Toutle",2014,0,0,0,0,0
"NF_MS Toutle",2014,1546,790,626,1369,3498
"SF Toutle",2014,2596,897,1352,2436,4796
"Coweeman",2014,1496,464,795,1435,2577
"Kalama",2014,1355,698,470,1184,3139
"Lower Lewis",2014,784,475,221,673,1966
"Upper NF Lewis",2014,8309,92,8127,8311,8487
"Cedar",2014,544,305,140,477,1325
"EF Lewis",2014,1142,599,379,1010,2637
"Salmon Creek",2014,93,96,6,63,353
"Washougal",2014,2194,907,914,2020,4300
"Lower Gorge",2014,777,426,231,690,1909
"Duncan_Above Weir",2014,2,1,1,2,6
"Grays_Chinook",2015,320,155,122,286,709
"Elochoman_Skamokawa",2015,244,119,81,221,547
"Abernathy",2015,22,10,8,21,45
"Abernathy_Above AFTC",2015,19,7,8,18,35
"Mill",2015,19,8,7,18,38
"Germany",2015,14,6,5,13,28
"Coal",2015,9,23,1,6,37
"Upper Cowlitz and Cispus",2015,922,44,829,924,1004
"Tilton",2015,1527,95,1323,1534,1693
"Lower Cowlitz",2015,201,219,15,134,787
"Delameter_Above Weir",2015,10,5,3,9,23
"Lacamas_Above Weir",2015,28,27,3,20,98
"Olequa_Above Weir",2015,38,29,6,30,115
"Ostrander_Above Weir",2015,11,6,3,10,25
"Green",2015,350,157,120,325,717
"Upper NF Toutle",2015,0,0,0,0,0
"NF_MS Toutle",2015,910,598,270,773,2431
"SF Toutle",2015,1763,694,776,1641,3471
