"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,526,207,219,495,1019
"Elochoman_Skamokawa",2010,1012,303,540,964,1746
"Abernathy",2010,517,53,423,514,630
"Abernathy_Above AFTC",2010,261,111,102,244,522
"Mill",2010,255,161,74,219,682
"Germany",2010,203,134,49,172,527
"Coal",2010,168,176,31,127,543
"Upper Cowlitz and Cispus",2010,2774,53,2671,2774,2879
"Tilton",2010,897,29,840,896,956
"Lower Cowlitz",2010,2331,881,1169,2177,4478
"Delameter_Above Weir",2010,193,91,68,177,413
"Lacamas_Above Weir",2010,1596,1846,239,1157,5661
"Olequa_Above Weir",2010,1723,960,604,1482,4288
"Ostrander_Above Weir",2010,148,88,42,128,371
"Green",2010,946,202,620,924,1413
"Upper NF Toutle",2010,206,14,179,205,234
"NF_MS Toutle",2010,685,391,198,601,1657
"SF Toutle",2010,1992,671,1002,1889,3589
"Coweeman",2010,4013,865,2629,3919,6036
"Kalama",2010,86,60,21,72,243
"Lower Lewis",2010,873,512,308,748,2172
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,1461,113,1256,1456,1696
"EF Lewis",2010,1556,569,756,1462,2948
"Salmon Creek",2010,1469,768,541,1309,3404
"Washougal",2010,745,289,368,690,1441
"Lower Gorge",2010,574,205,284,535,1074
"Duncan_Above Weir",2010,69,15,44,67,102
"Grays_Chinook",2011,355,133,149,339,654
"Elochoman_Skamokawa",2011,697,199,396,667,1170
"Abernathy",2011,272,32,214,271,337
"Abernathy_Above AFTC",2011,177,66,79,169,334
"Mill",2011,153,87,48,134,368
"Germany",2011,135,85,35,115,346
"Coal",2011,126,162,17,88,432
"Upper Cowlitz and Cispus",2011,7614,88,7448,7614,7788
"Tilton",2011,1963,45,1877,1962,2052
"Lower Cowlitz",2011,1381,504,670,1298,2572
"Delameter_Above Weir",2011,136,55,56,128,266
"Lacamas_Above Weir",2011,1605,2105,145,1003,6955
"Olequa_Above Weir",2011,1419,743,593,1237,3269
"Ostrander_Above Weir",2011,102,62,25,88,262
"Green",2011,515,143,262,509,820
"Upper NF Toutle",2011,56,8,43,56,72
"NF_MS Toutle",2011,485,263,159,428,1151
"SF Toutle",2011,1359,490,607,1295,2492
"Coweeman",2011,4036,847,2674,3927,6000
"Kalama",2011,46,29,12,39,116
"Lower Lewis",2011,579,336,217,501,1424
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,919,53,823,917,1027
"EF Lewis",2011,1464,491,747,1386,2637
"Salmon Creek",2011,928,392,412,841,1961
"Washougal",2011,484,192,237,446,978
"Lower Gorge",2011,442,150,238,417,791
"Duncan_Above Weir",2011,61,11,42,59,85
"Grays_Chinook",2012,485,147,244,471,825
"Elochoman_Skamokawa",2012,611,182,308,593,1015
"Abernathy",2012,302,39,231,301,381
"Abernathy_Above AFTC",2012,206,64,107,198,350
"Mill",2012,152,69,59,140,309
"Germany",2012,150,76,53,135,337
"Coal",2012,158,223,18,105,626
"Upper Cowlitz and Cispus",2012,1601,40,1524,1601,1682
"Tilton",2012,1269,36,1197,1269,1340
"Lower Cowlitz",2012,1507,593,670,1417,2865
"Delameter_Above Weir",2012,167,59,80,159,301
"Lacamas_Above Weir",2012,2260,3032,267,1514,8571
"Olequa_Above Weir",2012,1485,1004,456,1262,3934
"Ostrander_Above Weir",2012,119,66,33,106,280
"Green",2012,724,146,476,710,1041
"Upper NF Toutle",2012,137,12,115,137,161
"NF_MS Toutle",2012,639,311,271,574,1418
"SF Toutle",2012,2144,652,1223,2037,3706
"Coweeman",2012,3802,835,2477,3698,5681
"Kalama",2012,45,23,14,40,101
"Lower Lewis",2012,467,293,145,397,1195
"Upper NF Lewis",2012,33,6,23,33,45
"Cedar",2012,1109,130,880,1101,1385
"EF Lewis",2012,3419,1141,1827,3226,6123
"Salmon Creek",2012,981,361,472,920,1862
"Washougal",2012,447,139,245,422,798
"Lower Gorge",2012,503,170,251,480,895
"Duncan_Above Weir",2012,66,17,38,64,105
"Grays_Chinook",2013,826,209,513,795,1311
"Elochoman_Skamokawa",2013,921,228,549,898,1432
"Abernathy",2013,429,56,333,426,550
"Abernathy_Above AFTC",2013,271,40,201,268,356
"Mill",2013,169,37,106,167,249
