"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.785,0.053,0.667,0.789,0.878
"Elochoman_Skamokawa",2010,0.711,0.064,0.577,0.715,0.827
"Abernathy",2010,0.125,0.023,0.083,0.124,0.173
"Abernathy_Above AFTC",2010,0.122,0.022,0.081,0.121,0.17
"Mill",2010,0.122,0.022,0.082,0.121,0.17
"Germany",2010,0.122,0.022,0.082,0.121,0.17
"Coal",2010,0.122,0.022,0.083,0.121,0.167
"Upper Cowlitz and Cispus",2010,0.874,0.003,0.869,0.874,0.879
"Tilton",2010,0.694,0.016,0.657,0.695,0.722
"Lower Cowlitz",2010,0.117,0.076,0.017,0.101,0.298
"Delameter_Above Weir",2010,0.079,0.11,0.001,0.036,0.414
"Lacamas_Above Weir",2010,0.238,0.239,0.005,0.145,0.847
"Olequa_Above Weir",2010,0.11,0.073,0.016,0.095,0.296
"Ostrander_Above Weir",2010,0.24,0.183,0.017,0.195,0.684
"Green",2010,0.67,0.03,0.612,0.671,0.728
"Upper NF Toutle",2010,0.001,0.002,0,0.001,0.008
"NF_MS Toutle",2010,0.317,0.221,0.027,0.271,0.818
"SF Toutle",2010,0.205,0.038,0.136,0.204,0.287
"Coweeman",2010,0.091,0.031,0.039,0.088,0.163
"Kalama",2010,0.952,0.026,0.891,0.957,0.988
"Lower Lewis",2010,0.12,0.086,0.016,0.098,0.345
"Upper NF Lewis",2010,0.673,0.254,0.114,0.736,0.984
"Cedar",2010,0.323,0.026,0.273,0.322,0.375
"EF Lewis",2010,0.238,0.093,0.088,0.229,0.439
"Salmon Creek",2010,0.138,0.161,0.003,0.076,0.605
"Washougal",2010,0.404,0.09,0.235,0.402,0.585
"Lower Gorge",2010,0.266,0.066,0.151,0.263,0.407
"Duncan_Above Weir",2010,0.028,0.026,0.002,0.021,0.099
"Grays_Chinook",2011,0.926,0.023,0.876,0.929,0.965
"Elochoman_Skamokawa",2011,0.592,0.087,0.42,0.594,0.751
"Abernathy",2011,0.183,0.035,0.121,0.181,0.257
"Abernathy_Above AFTC",2011,0.188,0.036,0.123,0.186,0.261
"Mill",2011,0.189,0.037,0.121,0.187,0.263
"Germany",2011,0.19,0.037,0.123,0.188,0.265
"Coal",2011,0.188,0.036,0.123,0.187,0.262
"Upper Cowlitz and Cispus",2011,0.607,0.006,0.596,0.608,0.617
"Tilton",2011,0.689,0.012,0.664,0.69,0.709
"Lower Cowlitz",2011,0.138,0.104,0.016,0.112,0.407
"Delameter_Above Weir",2011,0.046,0.061,0.001,0.023,0.23
"Lacamas_Above Weir",2011,0.189,0.198,0.006,0.114,0.744
"Olequa_Above Weir",2011,0.053,0.053,0.004,0.036,0.201
"Ostrander_Above Weir",2011,0.143,0.143,0.007,0.094,0.544
"Green",2011,0.175,0.086,0.049,0.161,0.374
"Upper NF Toutle",2011,0.001,0.002,0,0,0.005
"NF_MS Toutle",2011,0.322,0.178,0.05,0.297,0.723
"SF Toutle",2011,0.14,0.076,0.033,0.126,0.331
"Coweeman",2011,0.051,0.024,0.016,0.048,0.108
"Kalama",2011,0.881,0.085,0.654,0.903,0.978
"Lower Lewis",2011,0.196,0.07,0.08,0.189,0.349
"Upper NF Lewis",2011,0.72,0.197,0.263,0.767,0.971
"Cedar",2011,0.251,0.014,0.224,0.251,0.279
"EF Lewis",2011,0.071,0.044,0.014,0.062,0.184
"Salmon Creek",2011,0.085,0.091,0.004,0.054,0.348
"Washougal",2011,0.126,0.073,0.028,0.111,0.306
"Lower Gorge",2011,0.149,0.091,0.03,0.132,0.373
"Duncan_Above Weir",2011,0.034,0.025,0.004,0.027,0.1
"Grays_Chinook",2012,0.433,0.119,0.206,0.433,0.656
"Elochoman_Skamokawa",2012,0.287,0.11,0.105,0.277,0.527
"Abernathy",2012,0.026,0.011,0.009,0.024,0.052
"Abernathy_Above AFTC",2012,0.026,0.011,0.01,0.025,0.052
"Mill",2012,0.026,0.011,0.009,0.024,0.051
"Germany",2012,0.026,0.011,0.009,0.024,0.051
"Coal",2012,0.026,0.011,0.01,0.025,0.051
"Upper Cowlitz and Cispus",2012,0.58,0.009,0.561,0.581,0.598
"Tilton",2012,0.739,0.011,0.714,0.74,0.759
"Lower Cowlitz",2012,0.263,0.17,0.039,0.225,0.673
"Delameter_Above Weir",2012,0.035,0.05,0.001,0.018,0.175
"Lacamas_Above Weir",2012,0.134,0.134,0.008,0.089,0.516
"Olequa_Above Weir",2012,0.026,0.028,0.002,0.017,0.101
"Ostrander_Above Weir",2012,0.075,0.088,0.004,0.043,0.322
"Green",2012,0.166,0.08,0.045,0.154,0.349
"Upper NF Toutle",2012,0.001,0.001,0,0,0.003
"NF_MS Toutle",2012,0.281,0.134,0.072,0.265,0.585
"SF Toutle",2012,0.127,0.062,0.035,0.117,0.276
"Coweeman",2012,0.049,0.033,0.009,0.041,0.133
"Kalama",2012,0.838,0.075,0.667,0.85,0.949
"Lower Lewis",2012,0.114,0.061,0.029,0.102,0.261
"Upper NF Lewis",2012,0.798,0.03,0.736,0.8,0.854
"Cedar",2012,0.088,0.044,0.024,0.08,0.192
"EF Lewis",2012,0.079,0.042,0.021,0.071,0.181
"Salmon Creek",2012,0.069,0.062,0.005,0.049,0.238
"Washougal",2012,0.138,0.071,0.035,0.125,0.31
"Lower Gorge",2012,0.169,0.08,0.048,0.158,0.352
"Duncan_Above Weir",2012,0.142,0.085,0.026,0.124,0.346
"Grays_Chinook",2013,0.648,0.056,0.534,0.65,0.752
"Elochoman_Skamokawa",2013,0.388,0.086,0.227,0.385,0.56
"Abernathy",2013,0.077,0.028,0.033,0.073,0.14
"Abernathy_Above AFTC",2013,0.073,0.027,0.03,0.07,0.133
"Mill",2013,0.069,0.025,0.028,0.066,0.126
"Germany",2013,0.074,0.027,0.031,0.071,0.135
"Coal",2013,0.075,0.027,0.032,0.071,0.137
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.996,0.998,0.999
"Tilton",2013,0.584,0.016,0.549,0.586,0.613
"Lower Cowlitz",2013,0.423,0.063,0.299,0.422,0.549
"Delameter_Above Weir",2013,0.02,0.019,0.002,0.014,0.072
"Lacamas_Above Weir",2013,0.073,0.03,0.028,0.069,0.14
"Olequa_Above Weir",2013,0.014,0.01,0.002,0.011,0.039
"Ostrander_Above Weir",2013,0.028,0.022,0.004,0.022,0.089
"Green",2013,0.151,0.067,0.048,0.141,0.305
"Upper NF Toutle",2013,0,0.001,0,0,0.002
"NF_MS Toutle",2013,0.329,0.106,0.144,0.322,0.549
"SF Toutle",2013,0.147,0.052,0.063,0.141,0.258
"Coweeman",2013,0.129,0.05,0.052,0.123,0.243
"Kalama",2013,0.853,0.076,0.661,0.867,0.958
"Lower Lewis",2013,0.354,0.094,0.182,0.349,0.546
"Upper NF Lewis",2013,0.995,0.001,0.994,0.995,0.997
"Cedar",2013,0.27,0.05,0.179,0.269,0.376
"EF Lewis",2013,0.094,0.035,0.039,0.089,0.177
"Salmon Creek",2013,0.036,0.037,0.002,0.024,0.138
"Washougal",2013,0.354,0.101,0.169,0.351,0.561
"Lower Gorge",2013,0.236,0.092,0.085,0.225,0.439
"Duncan_Above Weir",2013,0.083,0.069,0.009,0.064,0.262
"Grays_Chinook",2014,0.413,0.079,0.262,0.412,0.569
"Elochoman_Skamokawa",2014,0.356,0.044,0.27,0.356,0.441
"Abernathy",2014,0.118,0.015,0.09,0.118,0.148
"Abernathy_Above AFTC",2014,0.121,0.015,0.094,0.121,0.154
"Mill",2014,0.122,0.016,0.092,0.121,0.153
"Germany",2014,0.12,0.015,0.091,0.12,0.151
"Coal",2014,0.12,0.016,0.092,0.12,0.153
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Tilton",2014,0.354,0.007,0.339,0.354,0.367
"Lower Cowlitz",2014,0.112,0.065,0.023,0.1,0.269
"Delameter_Above Weir",2014,0.022,0.008,0.009,0.021,0.041
"Lacamas_Above Weir",2014,0.036,0.009,0.021,0.035,0.055
"Olequa_Above Weir",2014,0.03,0.006,0.019,0.03,0.044
"Ostrander_Above Weir",2014,0.03,0.008,0.016,0.029,0.049
"Green",2014,0.296,0.04,0.219,0.293,0.38
"Upper NF Toutle",2014,0,0.001,0,0,0.002
"NF_MS Toutle",2014,0.364,0.055,0.256,0.362,0.474
"SF Toutle",2014,0.194,0.022,0.152,0.193,0.239
"Coweeman",2014,0.163,0.032,0.105,0.16,0.23
"Kalama",2014,0.895,0.027,0.836,0.897,0.941
"Lower Lewis",2014,0.391,0.048,0.299,0.39,0.488
