"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.793,0.053,0.679,0.797,0.885
"Elochoman_Skamokawa",2010,0.712,0.065,0.576,0.717,0.827
"Abernathy",2010,0.125,0.023,0.083,0.124,0.175
"Abernathy_Above AFTC",2010,0.122,0.022,0.083,0.121,0.169
"Mill",2010,0.122,0.022,0.082,0.121,0.169
"Germany",2010,0.122,0.022,0.082,0.121,0.17
"Upper Cowlitz and Cispus",2010,0.875,0.002,0.87,0.875,0.879
"Tilton",2010,0.695,0.016,0.659,0.696,0.723
"Lower Cowlitz",2010,0.115,0.077,0.016,0.098,0.306
"Delameter_Above Weir",2010,0.089,0.122,0.001,0.04,0.462
"Lacamas_Above Weir",2010,0.25,0.248,0.005,0.157,0.87
"Olequa_Above Weir",2010,0.111,0.07,0.017,0.096,0.284
"Ostrander_Above Weir",2010,0.269,0.197,0.019,0.224,0.727
"Green",2010,0.67,0.029,0.611,0.67,0.726
"Upper NF Toutle",2010,0.002,0.002,0,0.001,0.008
"NF_MS Toutle",2010,0.316,0.224,0.025,0.269,0.814
"SF Toutle",2010,0.205,0.039,0.134,0.203,0.287
"Coweeman",2010,0.091,0.032,0.039,0.088,0.161
"Kalama",2010,0.951,0.025,0.893,0.956,0.987
"Lower Lewis",2010,0.118,0.086,0.015,0.096,0.336
"Upper NF Lewis",2010,0.672,0.251,0.123,0.731,0.982
"Cedar",2010,0.323,0.026,0.273,0.323,0.377
"EF Lewis",2010,0.244,0.093,0.088,0.236,0.451
"Salmon Creek",2010,0.147,0.171,0.003,0.079,0.648
"Washougal",2010,0.404,0.09,0.235,0.402,0.583
"Lower Gorge",2010,0.267,0.068,0.146,0.262,0.41
"Duncan_Above Weir",2010,0.028,0.026,0.002,0.02,0.097
"Grays_Chinook",2011,0.928,0.024,0.873,0.93,0.967
"Elochoman_Skamokawa",2011,0.588,0.091,0.402,0.592,0.754
"Abernathy",2011,0.183,0.035,0.12,0.182,0.257
"Abernathy_Above AFTC",2011,0.189,0.036,0.124,0.187,0.265
"Mill",2011,0.19,0.037,0.124,0.188,0.267
"Germany",2011,0.19,0.037,0.124,0.188,0.268
"Upper Cowlitz and Cispus",2011,0.608,0.005,0.597,0.608,0.618
"Tilton",2011,0.691,0.011,0.666,0.691,0.711
"Lower Cowlitz",2011,0.134,0.101,0.016,0.107,0.394
"Delameter_Above Weir",2011,0.05,0.067,0.001,0.025,0.244
"Lacamas_Above Weir",2011,0.198,0.208,0.006,0.119,0.759
"Olequa_Above Weir",2011,0.052,0.054,0.004,0.035,0.201
"Ostrander_Above Weir",2011,0.162,0.164,0.007,0.105,0.623
"Green",2011,0.167,0.088,0.042,0.152,0.374
"Upper NF Toutle",2011,0.001,0.002,0,0,0.005
"NF_MS Toutle",2011,0.317,0.177,0.052,0.29,0.704
"SF Toutle",2011,0.14,0.079,0.032,0.126,0.333
"Coweeman",2011,0.051,0.024,0.016,0.047,0.109
"Kalama",2011,0.878,0.09,0.642,0.903,0.98
"Lower Lewis",2011,0.196,0.071,0.079,0.19,0.351
"Upper NF Lewis",2011,0.72,0.201,0.238,0.772,0.971
"Cedar",2011,0.251,0.014,0.224,0.251,0.277
"EF Lewis",2011,0.069,0.044,0.014,0.06,0.182
"Salmon Creek",2011,0.087,0.093,0.003,0.054,0.347
"Washougal",2011,0.119,0.071,0.024,0.104,0.294
"Lower Gorge",2011,0.146,0.092,0.027,0.126,0.373
"Duncan_Above Weir",2011,0.035,0.026,0.005,0.028,0.104
"Grays_Chinook",2012,0.427,0.128,0.187,0.425,0.679
"Elochoman_Skamokawa",2012,0.28,0.115,0.092,0.269,0.533
"Abernathy",2012,0.025,0.011,0.009,0.023,0.05
"Abernathy_Above AFTC",2012,0.025,0.011,0.009,0.024,0.051
"Mill",2012,0.025,0.011,0.009,0.023,0.05
"Germany",2012,0.025,0.011,0.009,0.024,0.05
"Upper Cowlitz and Cispus",2012,0.582,0.009,0.564,0.582,0.6
"Tilton",2012,0.741,0.011,0.718,0.742,0.761
"Lower Cowlitz",2012,0.267,0.176,0.038,0.229,0.686
"Delameter_Above Weir",2012,0.038,0.057,0.001,0.018,0.194
"Lacamas_Above Weir",2012,0.141,0.143,0.008,0.09,0.548
"Olequa_Above Weir",2012,0.025,0.028,0.002,0.016,0.099
"Ostrander_Above Weir",2012,0.086,0.101,0.004,0.049,0.389
"Green",2012,0.162,0.081,0.042,0.149,0.351
"Upper NF Toutle",2012,0.001,0.001,0,0,0.003
"NF_MS Toutle",2012,0.28,0.139,0.067,0.261,0.589
"SF Toutle",2012,0.124,0.061,0.035,0.114,0.268
"Coweeman",2012,0.046,0.032,0.008,0.039,0.128
"Kalama",2012,0.836,0.075,0.662,0.847,0.947
"Lower Lewis",2012,0.11,0.062,0.025,0.097,0.26
"Upper NF Lewis",2012,0.798,0.03,0.735,0.799,0.853
"Cedar",2012,0.087,0.046,0.022,0.078,0.2
"EF Lewis",2012,0.078,0.042,0.02,0.071,0.181
"Salmon Creek",2012,0.071,0.064,0.005,0.051,0.244
"Washougal",2012,0.133,0.072,0.032,0.121,0.308
"Lower Gorge",2012,0.166,0.081,0.045,0.153,0.354
"Duncan_Above Weir",2012,0.171,0.092,0.04,0.155,0.385
"Grays_Chinook",2013,0.642,0.057,0.529,0.644,0.749
"Elochoman_Skamokawa",2013,0.391,0.09,0.221,0.388,0.57
"Abernathy",2013,0.076,0.027,0.032,0.073,0.138
"Abernathy_Above AFTC",2013,0.076,0.027,0.032,0.073,0.137
"Mill",2013,0.069,0.025,0.03,0.067,0.126
"Germany",2013,0.073,0.027,0.031,0.07,0.134
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.997,0.998,0.999
"Tilton",2013,0.587,0.016,0.552,0.588,0.614
"Lower Cowlitz",2013,0.427,0.065,0.301,0.426,0.556
"Delameter_Above Weir",2013,0.021,0.02,0.002,0.015,0.075
"Lacamas_Above Weir",2013,0.074,0.03,0.028,0.07,0.143
"Olequa_Above Weir",2013,0.013,0.01,0.002,0.011,0.04
"Ostrander_Above Weir",2013,0.03,0.024,0.004,0.024,0.094
"Green",2013,0.147,0.066,0.047,0.137,0.301
"Upper NF Toutle",2013,0,0.001,0,0,0.002
"NF_MS Toutle",2013,0.326,0.111,0.137,0.317,0.559
"SF Toutle",2013,0.148,0.053,0.063,0.142,0.267
"Coweeman",2013,0.132,0.05,0.052,0.127,0.247
"Kalama",2013,0.844,0.078,0.656,0.859,0.954
"Lower Lewis",2013,0.351,0.093,0.181,0.345,0.542
"Upper NF Lewis",2013,0.995,0.001,0.994,0.995,0.997
"Cedar",2013,0.272,0.05,0.181,0.27,0.374
"EF Lewis",2013,0.093,0.034,0.038,0.089,0.172
"Salmon Creek",2013,0.034,0.035,0.002,0.023,0.131
"Washougal",2013,0.341,0.101,0.161,0.336,0.549
"Lower Gorge",2013,0.238,0.096,0.082,0.229,0.446
"Duncan_Above Weir",2013,0.144,0.103,0.02,0.119,0.409
"Grays_Chinook",2014,0.403,0.082,0.246,0.403,0.568
"Elochoman_Skamokawa",2014,0.358,0.045,0.273,0.357,0.447
"Abernathy",2014,0.119,0.015,0.091,0.119,0.15
"Abernathy_Above AFTC",2014,0.119,0.015,0.091,0.119,0.151
"Mill",2014,0.122,0.015,0.093,0.122,0.154
"Germany",2014,0.12,0.015,0.093,0.12,0.151
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.768,0.773
"Tilton",2014,0.355,0.007,0.34,0.355,0.368
"Lower Cowlitz",2014,0.11,0.068,0.021,0.095,0.279
"Delameter_Above Weir",2014,0.027,0.012,0.009,0.025,0.054
"Lacamas_Above Weir",2014,0.041,0.011,0.022,0.04,0.065
"Olequa_Above Weir",2014,0.03,0.009,0.015,0.029,0.049
"Ostrander_Above Weir",2014,0.038,0.012,0.018,0.036,0.064
"Green",2014,0.299,0.041,0.223,0.298,0.381
"Upper NF Toutle",2014,0,0.001,0,0,0.002
"NF_MS Toutle",2014,0.363,0.057,0.256,0.361,0.479
"SF Toutle",2014,0.194,0.023,0.151,0.193,0.241
"Coweeman",2014,0.162,0.032,0.105,0.161,0.228
"Kalama",2014,0.898,0.027,0.839,0.9,0.943
"Lower Lewis",2014,0.393,0.049,0.3,0.393,0.489
"Upper NF Lewis",2014,0.923,0.003,0.918,0.923,0.928
"Cedar",2014,0.062,0.032,0.017,0.056,0.138
"EF Lewis",2014,0.179,0.06,0.078,0.174,0.31
"Salmon Creek",2014,0.023,0.022,0.002,0.016,0.083
"Washougal",2014,0.683,0.055,0.569,0.685,0.785
"Lower Gorge",2014,0.276,0.083,0.133,0.27,0.456
"Duncan_Above Weir",2014,0.193,0.109,0.038,0.173,0.448
"Grays_Chinook",2015,0.487,0.125,0.246,0.485,0.73
"Elochoman_Skamokawa",2015,0.368,0.107,0.174,0.363,0.586
"Abernathy",2015,0.074,0.028,0.029,0.07,0.138
"Abernathy_Above AFTC",2015,0.107,0.034,0.051,0.104,0.183
"Mill",2015,0.072,0.028,0.029,0.068,0.135
"Germany",2015,0.073,0.028,0.029,0.069,0.136
"Upper Cowlitz and Cispus",2015,0.715,0.014,0.687,0.715,0.741
"Tilton",2015,0.533,0.016,0.497,0.534,0.561
"Lower Cowlitz",2015,0.148,0.124,0.013,0.112,0.475
"Delameter_Above Weir",2015,0.09,0.047,0.024,0.082,0.202
"Lacamas_Above Weir",2015,0.034,0.028,0.004,0.026,0.107
"Olequa_Above Weir",2015,0.077,0.051,0.013,0.065,0.208
"Ostrander_Above Weir",2015,0.079,0.047,0.017,0.069,0.195
"Green",2015,0.422,0.122,0.188,0.421,0.661
"Upper NF Toutle",2015,0,0.001,0,0,0.001
"NF_MS Toutle",2015,0.663,0.12,0.404,0.673,0.863
"SF Toutle",2015,0.493,0.079,0.334,0.493,0.645
"Coweeman",2015,0.192,0.072,0.075,0.185,0.353
"Kalama",2015,0.875,0.042,0.781,0.88,0.943
"Lower Lewis",2015,0.3,0.156,0.065,0.277,0.651
"Upper NF Lewis",2015,0.97,0.003,0.965,0.97,0.975
"Cedar",2015,0.111,0.057,0.028,0.101,0.25
"EF Lewis",2015,0.194,0.1,0.048,0.177,0.431
"Salmon Creek",2015,0.044,0.054,0.002,0.025,0.198
"Washougal",2015,0.613,0.112,0.381,0.618,0.813
"Lower Gorge",2015,0.144,0.082,0.032,0.128,0.345
"Duncan_Above Weir",2015,0.176,0.139,0.016,0.137,0.526
"Grays_Chinook",2016,0.579,0.111,0.357,0.583,0.783
"Elochoman_Skamokawa",2016,0.347,0.115,0.143,0.342,0.584
"Abernathy",2016,0.132,0.022,0.091,0.13,0.178
"Abernathy_Above AFTC",2016,0.134,0.023,0.092,0.133,0.181
"Mill",2016,0.128,0.022,0.089,0.127,0.175
"Germany",2016,0.128,0.022,0.089,0.127,0.174
"Upper Cowlitz and Cispus",2016,0.907,0.004,0.899,0.907,0.913
"Tilton",2016,0.62,0.013,0.592,0.621,0.643
"Lower Cowlitz",2016,0.168,0.121,0.018,0.139,0.468
"Delameter_Above Weir",2016,0.212,0.06,0.106,0.207,0.34
"Lacamas_Above Weir",2016,0.012,0.012,0.001,0.008,0.043
"Olequa_Above Weir",2016,0.047,0.043,0.005,0.034,0.162
"Ostrander_Above Weir",2016,0.057,0.033,0.013,0.05,0.139
"Green",2016,0.747,0.041,0.665,0.749,0.823
"Upper NF Toutle",2016,0,0,0,0,0.001
"NF_MS Toutle",2016,0.505,0.167,0.182,0.509,0.809
"SF Toutle",2016,0.227,0.064,0.116,0.222,0.366
"Coweeman",2016,0.162,0.071,0.051,0.152,0.324
"Kalama",2016,0.624,0.173,0.242,0.644,0.899
"Lower Lewis",2016,0.346,0.116,0.144,0.339,0.586
"Upper NF Lewis",2016,0.835,0.005,0.826,0.835,0.843
"Cedar",2016,0.18,0.078,0.057,0.17,0.359
"EF Lewis",2016,0.356,0.147,0.108,0.345,0.666
"Salmon Creek",2016,0.069,0.073,0.004,0.044,0.275
"Washougal",2016,0.718,0.075,0.56,0.722,0.851
"Lower Gorge",2016,0.082,0.046,0.019,0.073,0.198
"Duncan_Above Weir",2016,0.153,0.118,0.016,0.122,0.459
"Grays_Chinook",2017,0.665,0.113,0.419,0.673,0.861
"Elochoman_Skamokawa",2017,0.264,0.136,0.056,0.246,0.558
"Abernathy",2017,0.081,0.02,0.047,0.08,0.124
"Abernathy_Above AFTC",2017,0.083,0.021,0.047,0.081,0.128
"Mill",2017,0.084,0.021,0.049,0.083,0.129
"Germany",2017,0.083,0.02,0.048,0.081,0.126
"Upper Cowlitz and Cispus",2017,0.553,0.007,0.539,0.554,0.566
"Tilton",2017,0.502,0.008,0.487,0.503,0.516
"Lower Cowlitz",2017,0.344,0.181,0.054,0.33,0.722
"Delameter_Above Weir",2017,0.125,0.059,0.038,0.116,0.266
"Lacamas_Above Weir",2017,0.009,0.01,0.001,0.006,0.038
"Olequa_Above Weir",2017,0.04,0.031,0.005,0.032,0.121
"Ostrander_Above Weir",2017,0.12,0.058,0.034,0.11,0.258
"Green",2017,0.197,0.086,0.062,0.185,0.391
"Upper NF Toutle",2017,0,0.001,0,0,0.001
"NF_MS Toutle",2017,0.358,0.197,0.06,0.333,0.776
"SF Toutle",2017,0.107,0.079,0.015,0.087,0.317
"Coweeman",2017,0.127,0.084,0.019,0.108,0.334
"Kalama",2017,0.57,0.205,0.155,0.588,0.905
"Lower Lewis",2017,0.32,0.109,0.131,0.312,0.553
"Upper NF Lewis",2017,0.673,0.006,0.662,0.673,0.685
"Cedar",2017,0.26,0.125,0.063,0.246,0.534
"EF Lewis",2017,0.377,0.108,0.18,0.373,0.599
"Salmon Creek",2017,0.125,0.096,0.013,0.1,0.376
"Washougal",2017,0.746,0.062,0.615,0.75,0.854
"Lower Gorge",2017,0.165,0.103,0.03,0.144,0.418
"Duncan_Above Weir",2017,0.223,0.134,0.037,0.2,0.531
"Grays_Chinook",2018,0.684,0.115,0.433,0.694,0.877
"Elochoman_Skamokawa",2018,0.406,0.137,0.155,0.404,0.674
"Abernathy",2018,0.149,0.033,0.09,0.147,0.219
"Abernathy_Above AFTC",2018,0.144,0.032,0.088,0.142,0.214
"Mill",2018,0.152,0.034,0.092,0.149,0.223
"Germany",2018,0.162,0.037,0.097,0.16,0.239
"Upper Cowlitz and Cispus",2018,0.971,0.002,0.967,0.971,0.975
"Tilton",2018,0.704,0.009,0.684,0.704,0.721
"Lower Cowlitz",2018,0.156,0.127,0.014,0.12,0.49
"Delameter_Above Weir",2018,0.162,0.082,0.041,0.148,0.353
"Lacamas_Above Weir",2018,0.009,0.01,0.001,0.005,0.035
"Olequa_Above Weir",2018,0.038,0.041,0.003,0.025,0.149
"Ostrander_Above Weir",2018,0.119,0.066,0.028,0.106,0.28
"Green",2018,0.205,0.112,0.042,0.188,0.463
"Upper NF Toutle",2018,0,0.001,0,0,0.001
"NF_MS Toutle",2018,0.355,0.201,0.054,0.328,0.786
"SF Toutle",2018,0.1,0.082,0.011,0.077,0.32
"Coweeman",2018,0.279,0.173,0.033,0.253,0.647
"Kalama",2018,0.622,0.162,0.267,0.642,0.88
"Lower Lewis",2018,0.582,0.149,0.277,0.589,0.846
"Upper NF Lewis",2018,0.933,0.003,0.927,0.933,0.939
"Cedar",2018,0.238,0.166,0.025,0.2,0.623
"EF Lewis",2018,0.135,0.063,0.04,0.125,0.282
"Salmon Creek",2018,0.118,0.066,0.026,0.106,0.277
"Washougal",2018,0.695,0.1,0.478,0.703,0.865
"Lower Gorge",2018,0.209,0.088,0.071,0.199,0.407
"Duncan_Above Weir",2018,0.097,0.081,0.01,0.073,0.318
"Grays_Chinook",2019,0.576,0.158,0.241,0.589,0.846
"Elochoman_Skamokawa",2019,0.367,0.118,0.151,0.362,0.602
"Abernathy",2019,0.285,0.032,0.225,0.285,0.349
"Abernathy_Above AFTC",2019,0.281,0.031,0.222,0.28,0.343
"Mill",2019,0.271,0.031,0.214,0.27,0.334
"Germany",2019,0.27,0.031,0.212,0.268,0.332
"Upper Cowlitz and Cispus",2019,0.634,0.007,0.62,0.634,0.646
"Tilton",2019,0.784,0.007,0.77,0.784,0.796
"Lower Cowlitz",2019,0.077,0.066,0.007,0.057,0.252
"Delameter_Above Weir",2019,0.145,0.085,0.029,0.128,0.352
"Lacamas_Above Weir",2019,0.012,0.012,0.001,0.008,0.046
"Olequa_Above Weir",2019,0.035,0.03,0.004,0.026,0.117
"Ostrander_Above Weir",2019,0.192,0.058,0.094,0.187,0.316
"Green",2019,0.165,0.079,0.045,0.154,0.347
"Upper NF Toutle",2019,0,0,0,0,0.001
"NF_MS Toutle",2019,0.415,0.161,0.129,0.407,0.74
"SF Toutle",2019,0.111,0.055,0.031,0.103,0.241
"Coweeman",2019,0.262,0.091,0.106,0.254,0.455
"Kalama",2019,0.509,0.184,0.164,0.51,0.848
"Lower Lewis",2019,0.492,0.18,0.159,0.492,0.832
"Upper NF Lewis",2019,0.752,0.006,0.74,0.752,0.764
"Cedar",2019,0.131,0.083,0.022,0.113,0.335
"EF Lewis",2019,0.094,0.056,0.019,0.082,0.232
"Salmon Creek",2019,0.11,0.07,0.019,0.094,0.285
"Washougal",2019,0.547,0.089,0.367,0.549,0.716
"Lower Gorge",2019,0.278,0.106,0.097,0.27,0.503
"Duncan_Above Weir",2019,0.057,0.046,0.006,0.046,0.178
"Grays_Chinook",2020,0.428,0.145,0.16,0.424,0.71
"Elochoman_Skamokawa",2020,0.222,0.109,0.056,0.207,0.468
"Abernathy",2020,0.096,0.055,0.022,0.086,0.23
"Abernathy_Above AFTC",2020,0.112,0.063,0.026,0.1,0.265
"Mill",2020,0.127,0.073,0.028,0.114,0.307
"Germany",2020,0.123,0.073,0.026,0.109,0.304
"Upper Cowlitz and Cispus",2020,0.581,0.005,0.572,0.581,0.59
"Tilton",2020,0.819,0.004,0.81,0.819,0.827
