"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,2097,1068,827,1854,4791
"Elochoman_Skamokawa",2010,2278,737,1197,2163,4054
"Abernathy",2010,68,14,43,67,99
"Abernathy_Above AFTC",2010,33,17,11,29,75
"Mill",2010,35,25,8,28,96
"Germany",2010,28,20,6,22,80
"Upper Cowlitz and Cispus",2010,19343,270,18797,19350,19857
"Tilton",2010,2051,149,1744,2059,2325
"Lower Cowlitz",2010,311,279,34,232,1035
"Delameter_Above Weir",2010,27,76,0,8,175
"Lacamas_Above Weir",2010,1437,6053,4,212,10298
"Olequa_Above Weir",2010,214,224,21,147,788
"Ostrander_Above Weir",2010,89,198,2,38,465
"Green",2010,1778,376,1163,1736,2645
"Upper NF Toutle",2010,0,0,0,0,2
"NF_MS Toutle",2010,497,1046,12,203,2836
"SF Toutle",2010,455,199,187,415,954
"Coweeman",2010,392,170,143,363,808
"Kalama",2010,2228,2276,449,1608,7779
"Lower Lewis",2010,119,147,9,75,489
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,695,74,560,691,851
"EF Lewis",2010,583,366,144,500,1507
"Salmon Creek",2010,600,1678,6,172,3884
"Washougal",2010,451,217,167,405,997
"Lower Gorge",2010,195,101,69,174,447
"Duncan_Above Weir",2010,2,2,0,1,7
"Grays_Chinook",2011,4500,2452,1636,3911,10769
"Elochoman_Skamokawa",2011,930,325,443,879,1693
"Abernathy",2011,58,13,35,57,86
"Abernathy_Above AFTC",2011,38,19,13,34,83
"Mill",2011,35,24,9,30,94
"Germany",2011,32,25,7,26,94
"Upper Cowlitz and Cispus",2011,11823,252,11308,11835,12291
"Tilton",2011,4389,225,3930,4397,4804
"Lower Cowlitz",2011,234,251,20,157,922
"Delameter_Above Weir",2011,9,15,0,3,51
"Lacamas_Above Weir",2011,1001,6409,4,153,6427
"Olequa_Above Weir",2011,81,114,4,45,377
"Ostrander_Above Weir",2011,32,94,0,10,187
"Green",2011,97,66,20,81,266
"Upper NF Toutle",2011,0,0,0,0,0
"NF_MS Toutle",2011,282,393,19,166,1234
"SF Toutle",2011,214,176,33,165,681
"Coweeman",2011,184,98,52,165,429
"Kalama",2011,608,708,87,406,2334
"Lower Lewis",2011,143,140,31,110,458
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,308,24,264,307,357
"EF Lewis",2011,122,97,19,96,379
"Salmon Creek",2011,153,230,4,77,790
"Washougal",2011,60,47,9,47,184
"Lower Gorge",2011,74,62,10,56,235
"Duncan_Above Weir",2011,2,2,0,2,6
"Grays_Chinook",2012,387,231,106,333,986
"Elochoman_Skamokawa",2012,199,115,50,175,495
"Abernathy",2012,7,3,2,7,15
"Abernathy_Above AFTC",2012,5,3,1,4,11
"Mill",2012,4,3,1,3,10
"Germany",2012,4,3,1,3,11
"Upper Cowlitz and Cispus",2012,2234,66,2099,2237,2357
"Tilton",2012,3642,190,3246,3650,3984
"Lower Cowlitz",2012,723,1148,48,407,3412
"Delameter_Above Weir",2012,8,18,0,3,45
"Lacamas_Above Weir",2012,722,3484,8,185,4409
"Olequa_Above Weir",2012,39,74,2,20,183
"Ostrander_Above Weir",2012,14,30,0,6,86
"Green",2012,132,77,30,116,331
"Upper NF Toutle",2012,0,0,0,0,0
"NF_MS Toutle",2012,274,267,36,199,949
"SF Toutle",2012,288,190,64,243,771
"Coweeman",2012,161,123,25,129,477
