"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,2668,1100,1226,2450,5351
"Elochoman_Skamokawa",2010,3600,974,2144,3467,5964
"Abernathy",2010,598,59,494,595,721
"Abernathy_Above AFTC",2010,306,127,124,286,602
"Mill",2010,298,192,82,253,764
"Germany",2010,238,153,64,202,648
"Coal",2010,189,178,34,148,579
"Upper Cowlitz and Cispus",2010,22074,287,21475,22078,22618
"Tilton",2010,2940,151,2629,2947,3214
"Lower Cowlitz",2010,2640,938,1385,2455,4991
"Delameter_Above Weir",2010,218,121,74,190,527
"Lacamas_Above Weir",2010,2997,9751,335,1610,11841
"Olequa_Above Weir",2010,1881,1024,705,1631,4448
"Ostrander_Above Weir",2010,209,169,52,164,594
"Green",2010,2932,558,2018,2872,4205
"Upper NF Toutle",2010,206,14,179,205,235
"NF_MS Toutle",2010,1280,1475,284,942,4217
"SF Toutle",2010,2641,896,1335,2503,4704
"Coweeman",2010,4631,920,3127,4540,6623
"Kalama",2010,2310,2240,493,1671,7817
"Lower Lewis",2010,1034,602,375,884,2578
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,2153,146,1893,2145,2467
"EF Lewis",2010,2124,732,1059,1998,3829
"Salmon Creek",2010,1836,1199,644,1521,4883
"Washougal",2010,1268,477,642,1180,2432
"Lower Gorge",2010,812,294,405,756,1486
"Duncan_Above Weir",2010,71,15,46,70,104
"Grays_Chinook",2011,5597,2564,2320,5043,11845
"Elochoman_Skamokawa",2011,1765,440,1064,1715,2805
"Abernathy",2011,340,37,274,339,417
"Abernathy_Above AFTC",2011,226,84,103,212,438
"Mill",2011,192,111,58,169,468
"Germany",2011,172,106,51,149,429
"Coal",2011,155,164,20,110,564
"Upper Cowlitz and Cispus",2011,19394,277,18827,19404,19910
"Tilton",2011,6320,232,5837,6331,6756
"Lower Cowlitz",2011,1634,579,843,1528,3103
"Delameter_Above Weir",2011,146,68,57,133,310
"Lacamas_Above Weir",2011,2172,3358,208,1290,9109
"Olequa_Above Weir",2011,1500,806,638,1305,3512
"Ostrander_Above Weir",2011,124,98,27,99,368
"Green",2011,678,174,367,671,1049
"Upper NF Toutle",2011,56,7,43,56,72
"NF_MS Toutle",2011,806,546,245,668,2149
"SF Toutle",2011,1666,573,784,1588,2978
"Coweeman",2011,4289,875,2907,4179,6302
"Kalama",2011,574,563,123,417,2070
"Lower Lewis",2011,762,440,289,651,1879
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,1228,68,1109,1224,1369
"EF Lewis",2011,1606,514,857,1525,2863
"Salmon Creek",2011,1033,430,466,949,2130
"Washougal",2011,552,198,292,510,1073
"Lower Gorge",2011,529,183,291,498,968
"Duncan_Above Weir",2011,64,11,44,63,89
"Grays_Chinook",2012,919,302,486,870,1676
"Elochoman_Skamokawa",2012,915,266,491,882,1537
"Abernathy",2012,317,40,246,315,401
"Abernathy_Above AFTC",2012,215,61,117,207,361
"Mill",2012,158,70,60,146,326
"Germany",2012,158,84,55,142,347
"Coal",2012,167,224,17,111,652
"Upper Cowlitz and Cispus",2012,3813,81,3656,3816,3964
"Tilton",2012,4868,208,4433,4878,5251
"Lower Cowlitz",2012,2265,1595,930,1952,5368
"Delameter_Above Weir",2012,175,72,74,163,349
"Lacamas_Above Weir",2012,2623,3148,322,1805,10368
"Olequa_Above Weir",2012,1421,838,469,1212,3590
"Ostrander_Above Weir",2012,127,79,35,108,322
"Green",2012,898,173,603,883,1290
"Upper NF Toutle",2012,137,12,116,137,161
"NF_MS Toutle",2012,923,440,396,830,2019
"SF Toutle",2012,2529,758,1457,2403,4409
"Coweeman",2012,4099,862,2690,3992,6089
"Kalama",2012,326,181,118,284,802
"Lower Lewis",2012,535,360,173,461,1337
"Upper NF Lewis",2012,166,13,141,165,192
"Cedar",2012,1225,140,984,1216,1532
"EF Lewis",2012,3591,1180,1890,3414,6465
"Salmon Creek",2012,1062,390,502,999,2000
"Washougal",2012,528,159,297,501,907
"Lower Gorge",2012,615,192,322,588,1061
"Duncan_Above Weir",2012,77,19,45,75,120
"Grays_Chinook",2013,2471,576,1599,2383,3856
"Elochoman_Skamokawa",2013,1581,375,977,1534,2441
"Abernathy",2013,476,61,373,472,608
"Abernathy_Above AFTC",2013,303,42,228,300,392
"Mill",2013,188,40,118,184,280
"Germany",2013,204,37,140,201,282
"Coal",2013,249,466,25,159,983
"Upper Cowlitz and Cispus",2013,5818,276,5237,5840,6303
"Tilton",2013,6406,255,5867,6417,6875
"Lower Cowlitz",2013,3344,1096,1703,3187,5847
"Delameter_Above Weir",2013,238,43,169,232,339
"Lacamas_Above Weir",2013,3321,2202,994,2763,8877
"Olequa_Above Weir",2013,1425,367,857,1371,2296
"Ostrander_Above Weir",2013,151,45,85,143,260
"Green",2013,1455,297,1016,1406,2164
"Upper NF Toutle",2013,365,19,329,365,402
"NF_MS Toutle",2013,1389,636,627,1251,2990
"SF Toutle",2013,3835,1113,2244,3634,6548
"Coweeman",2013,5035,969,3507,4909,7213
"Kalama",2013,460,253,167,399,1123
"Lower Lewis",2013,781,479,242,678,1976
"Upper NF Lewis",2013,6966,83,6808,6965,7132
"Cedar",2013,1275,95,1107,1270,1479
"EF Lewis",2013,3339,1036,1857,3161,5893
"Salmon Creek",2013,1354,471,659,1273,2486
"Washougal",2013,815,244,455,779,1381
"Lower Gorge",2013,969,264,588,924,1612
"Duncan_Above Weir",2013,25,5,17,24,34
"Grays_Chinook",2014,4783,655,3797,4683,6328
"Elochoman_Skamokawa",2014,5879,1301,3950,5678,8884
"Abernathy",2014,1272,116,1063,1265,1512
"Abernathy_Above AFTC",2014,1024,79,880,1021,1187
"Mill",2014,1296,115,1088,1290,1532
"Germany",2014,701,75,568,697,859
"Coal",2014,783,1066,82,515,3060
"Upper Cowlitz and Cispus",2014,29412,317,28765,29420,30017
"Tilton",2014,13788,199,13385,13790,14157
"Lower Cowlitz",2014,6136,1883,3235,5859,10559
"Delameter_Above Weir",2014,783,54,682,782,894
