"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.459,0.038,0.38,0.46,0.531
"Elochoman_Skamokawa",2010,0.436,0.049,0.34,0.435,0.528
"Abernathy",2010,0.497,0.028,0.443,0.496,0.552
"Abernathy_Above AFTC",2010,0.484,0.029,0.423,0.484,0.542
"Mill",2010,0.485,0.028,0.434,0.485,0.54
"Germany",2010,0.486,0.028,0.432,0.486,0.539
"Coal",2010,0.474,0.05,0.364,0.476,0.578
"Upper Cowlitz and Cispus",2010,0.477,0.052,0.381,0.478,0.581
"Tilton",2010,0.475,0.057,0.37,0.477,0.577
"Lower Cowlitz",2010,0.519,0.049,0.424,0.519,0.607
"Delameter_Above Weir",2010,0.473,0.049,0.38,0.471,0.573
"Lacamas_Above Weir",2010,0.477,0.052,0.363,0.479,0.579
"Olequa_Above Weir",2010,0.471,0.052,0.372,0.474,0.58
"Ostrander_Above Weir",2010,0.479,0.055,0.373,0.483,0.577
"Green",2010,0.501,0.025,0.455,0.5,0.549
"Upper NF Toutle",2010,0.476,0.05,0.384,0.477,0.573
"NF_MS Toutle",2010,0.476,0.056,0.373,0.476,0.589
"SF Toutle",2010,0.442,0.037,0.375,0.441,0.518
"Coweeman",2010,0.457,0.038,0.383,0.455,0.534
"Kalama",2010,0.465,0.055,0.36,0.467,0.564
"Lower Lewis",2010,0.455,0.053,0.364,0.452,0.552
"Upper NF Lewis",2010,0.476,0.055,0.374,0.475,0.579
"Cedar",2010,0.416,0.043,0.333,0.415,0.499
"EF Lewis",2010,0.48,0.051,0.38,0.482,0.584
"Salmon Creek",2010,0.478,0.051,0.384,0.478,0.578
"Washougal",2010,0.442,0.049,0.348,0.442,0.53
"Lower Gorge",2010,0.506,0.046,0.421,0.501,0.594
"Duncan_Above Weir",2010,0.491,0.046,0.403,0.493,0.581
"Grays_Chinook",2011,0.449,0.046,0.354,0.451,0.539
"Elochoman_Skamokawa",2011,0.455,0.051,0.357,0.455,0.56
"Abernathy",2011,0.57,0.03,0.51,0.57,0.628
"Abernathy_Above AFTC",2011,0.556,0.035,0.494,0.556,0.623
"Mill",2011,0.558,0.033,0.495,0.558,0.617
"Germany",2011,0.557,0.033,0.495,0.559,0.618
"Coal",2011,0.476,0.058,0.357,0.478,0.593
"Upper Cowlitz and Cispus",2011,0.477,0.054,0.374,0.475,0.581
"Tilton",2011,0.481,0.051,0.382,0.483,0.576
"Lower Cowlitz",2011,0.473,0.054,0.354,0.473,0.58
"Delameter_Above Weir",2011,0.469,0.051,0.367,0.469,0.567
"Lacamas_Above Weir",2011,0.477,0.053,0.379,0.476,0.577
"Olequa_Above Weir",2011,0.474,0.055,0.37,0.477,0.573
"Ostrander_Above Weir",2011,0.48,0.053,0.383,0.478,0.588
"Green",2011,0.445,0.05,0.355,0.444,0.545
"Upper NF Toutle",2011,0.476,0.053,0.378,0.474,0.59
"NF_MS Toutle",2011,0.474,0.054,0.362,0.475,0.589
"SF Toutle",2011,0.451,0.057,0.342,0.452,0.563
"Coweeman",2011,0.508,0.042,0.431,0.509,0.586
"Kalama",2011,0.475,0.051,0.38,0.475,0.573
"Lower Lewis",2011,0.563,0.052,0.46,0.566,0.673
"Upper NF Lewis",2011,0.477,0.053,0.37,0.476,0.571
"Cedar",2011,0.431,0.044,0.351,0.432,0.524
"EF Lewis",2011,0.503,0.045,0.409,0.503,0.588
"Salmon Creek",2011,0.486,0.049,0.389,0.487,0.578
"Washougal",2011,0.478,0.048,0.382,0.479,0.567
