"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,2408,1021,1087,2180,4879
"Elochoman_Skamokawa",2010,3491,984,1998,3345,5803
"Abernathy",2010,588,58,480,584,711
"Abernathy_Above AFTC",2010,301,143,109,274,634
"Mill",2010,301,216,72,248,839
"Germany",2010,233,158,58,197,636
"Coal",2010,184,156,33,142,576
"Upper Cowlitz and Cispus",2010,22079,283,21497,22088,22617
"Tilton",2010,2935,153,2616,2942,3213
"Lower Cowlitz",2010,2698,1039,1300,2501,5250
"Delameter_Above Weir",2010,214,128,66,188,504
"Lacamas_Above Weir",2010,2835,6006,293,1540,12617
"Olequa_Above Weir",2010,1818,980,656,1586,4340
"Ostrander_Above Weir",2010,208,163,52,167,626
"Green",2010,2851,566,1929,2781,4152
"Upper NF Toutle",2010,205,14,179,205,233
"NF_MS Toutle",2010,1160,1231,252,856,3773
"SF Toutle",2010,2455,892,1170,2301,4579
"Coweeman",2010,4531,926,3054,4426,6667
"Kalama",2010,2220,2302,459,1593,7659
"Lower Lewis",2010,922,509,343,795,2226
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,2146,146,1884,2137,2452
"EF Lewis",2010,1950,660,991,1844,3572
"Salmon Creek",2010,1767,1193,533,1485,4860
"Washougal",2010,1242,488,591,1141,2472
"Lower Gorge",2010,754,285,378,695,1453
"Duncan_Above Weir",2010,70,15,45,68,102
"Grays_Chinook",2011,5000,2472,1961,4467,11234
"Elochoman_Skamokawa",2011,1756,480,1037,1687,2912
"Abernathy",2011,331,36,263,328,410
"Abernathy_Above AFTC",2011,229,97,96,212,463
"Mill",2011,198,136,52,167,526
"Germany",2011,177,123,45,148,488
"Coal",2011,163,248,19,110,604
"Upper Cowlitz and Cispus",2011,19395,279,18827,19406,19919
"Tilton",2011,6315,240,5815,6328,6750
"Lower Cowlitz",2011,1654,632,766,1534,3216
"Delameter_Above Weir",2011,148,70,53,135,321
"Lacamas_Above Weir",2011,2336,3498,193,1359,10670
"Olequa_Above Weir",2011,1507,817,634,1301,3597
"Ostrander_Above Weir",2011,130,108,27,103,401
"Green",2011,598,182,295,581,991
"Upper NF Toutle",2011,57,8,43,56,72
"NF_MS Toutle",2011,785,528,226,658,2191
"SF Toutle",2011,1580,614,678,1490,3037
"Coweeman",2011,4053,826,2743,3939,5975
"Kalama",2011,516,447,115,393,1623
"Lower Lewis",2011,688,374,271,598,1634
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,1225,68,1106,1221,1368
"EF Lewis",2011,1545,508,814,1462,2746
"Salmon Creek",2011,1015,518,426,906,2186
"Washougal",2011,557,216,279,514,1097
"Lower Gorge",2011,523,176,278,492,963
"Duncan_Above Weir",2011,62,11,44,61,87
"Grays_Chinook",2012,871,304,428,820,1615
"Elochoman_Skamokawa",2012,826,244,444,797,1383
"Abernathy",2012,307,39,237,305,388
"Abernathy_Above AFTC",2012,220,75,110,208,387
"Mill",2012,158,86,52,144,353
"Germany",2012,160,89,51,142,375
"Coal",2012,171,311,15,107,711
"Upper Cowlitz and Cispus",2012,3815,80,3654,3818,3965
"Tilton",2012,4871,210,4427,4880,5246
"Lower Cowlitz",2012,2253,1361,847,1960,5252
"Delameter_Above Weir",2012,183,80,75,169,378
"Lacamas_Above Weir",2012,3043,4712,308,1911,11992
"Olequa_Above Weir",2012,1479,864,477,1278,3709
"Ostrander_Above Weir",2012,133,80,35,117,324
"Green",2012,873,180,576,855,1276
"Upper NF Toutle",2012,137,12,114,136,160
"NF_MS Toutle",2012,946,449,394,842,2104
"SF Toutle",2012,2530,807,1376,2395,4433
"Coweeman",2012,3951,830,2622,3840,5819
"Kalama",2012,295,155,112,261,688
"Lower Lewis",2012,503,302,171,437,1268
"Upper NF Lewis",2012,166,13,142,166,191
"Cedar",2012,1193,129,972,1181,1479
"EF Lewis",2012,3824,1225,2077,3630,6823
"Salmon Creek",2012,1027,410,481,952,2045
"Washougal",2012,520,168,276,493,939
"Lower Gorge",2012,599,219,289,561,1135
"Duncan_Above Weir",2012,76,19,46,74,117
"Grays_Chinook",2013,2475,637,1528,2375,3993
"Elochoman_Skamokawa",2013,1486,375,905,1434,2343
"Abernathy",2013,464,60,357,462,597
"Abernathy_Above AFTC",2013,293,42,218,290,384
"Mill",2013,172,38,109,169,256
"Germany",2013,196,36,135,193,275
"Coal",2013,254,737,19,151,996
"Upper Cowlitz and Cispus",2013,5829,276,5237,5846,6313
"Tilton",2013,6394,256,5859,6408,6866
"Lower Cowlitz",2013,3203,1181,1496,3010,5888
"Delameter_Above Weir",2013,238,43,166,234,333
"Lacamas_Above Weir",2013,3506,2448,1102,2891,10137
"Olequa_Above Weir",2013,1425,358,864,1376,2256
"Ostrander_Above Weir",2013,152,49,83,144,272
"Green",2013,1535,348,1009,1484,2389
"Upper NF Toutle",2013,365,19,329,365,402
"NF_MS Toutle",2013,1425,641,632,1286,3089
"SF Toutle",2013,3795,1226,2124,3554,6790
"Coweeman",2013,4797,885,3385,4707,6853
"Kalama",2013,417,230,158,364,972
"Lower Lewis",2013,724,526,238,632,1709
"Upper NF Lewis",2013,6967,82,6804,6968,7129
"Cedar",2013,1270,95,1100,1265,1466
"EF Lewis",2013,3336,1071,1822,3153,6029
"Salmon Creek",2013,1267,470,619,1190,2354
"Washougal",2013,768,260,411,719,1412
"Lower Gorge",2013,943,278,555,897,1627
"Duncan_Above Weir",2013,24,5,16,24,34
"Grays_Chinook",2014,4748,743,3648,4636,6461
"Elochoman_Skamokawa",2014,5937,1382,3880,5734,9127
"Abernathy",2014,1208,112,1005,1201,1439
"Abernathy_Above AFTC",2014,996,78,851,993,1156
"Mill",2014,1252,113,1043,1249,1486
"Germany",2014,670,73,538,667,822
"Coal",2014,766,2023,66,468,3037
"Upper Cowlitz and Cispus",2014,29407,317,28746,29414,30007
"Tilton",2014,13792,192,13410,13797,14151
"Lower Cowlitz",2014,5602,1911,2828,5286,10215
"Delameter_Above Weir",2014,773,54,675,770,887
"Lacamas_Above Weir",2014,11123,1041,9235,11063,13313
"Olequa_Above Weir",2014,8384,1088,6551,8306,10731
"Ostrander_Above Weir",2014,1047,108,854,1042,1268
"Green",2014,4048,766,2790,3979,5772
