"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.788,0.051,0.68,0.79,0.879
"Elochoman_Skamokawa",2010,0.712,0.063,0.579,0.715,0.827
"Abernathy",2010,0.125,0.022,0.086,0.125,0.17
"Abernathy_Above AFTC",2010,0.123,0.022,0.082,0.122,0.168
"Mill",2010,0.122,0.023,0.082,0.121,0.17
"Germany",2010,0.123,0.022,0.082,0.121,0.17
"Coal",2010,0.122,0.022,0.083,0.121,0.168
"Upper Cowlitz and Cispus",2010,0.874,0.003,0.869,0.874,0.879
"Tilton",2010,0.694,0.016,0.658,0.694,0.722
"Lower Cowlitz",2010,0.117,0.079,0.017,0.1,0.311
"Delameter_Above Weir",2010,0.08,0.114,0.001,0.037,0.43
"Lacamas_Above Weir",2010,0.244,0.24,0.005,0.158,0.852
"Olequa_Above Weir",2010,0.109,0.07,0.018,0.095,0.284
"Ostrander_Above Weir",2010,0.24,0.178,0.017,0.198,0.666
"Green",2010,0.671,0.029,0.613,0.671,0.726
"Upper NF Toutle",2010,0.002,0.002,0,0.001,0.007
"NF_MS Toutle",2010,0.308,0.214,0.027,0.261,0.793
"SF Toutle",2010,0.205,0.039,0.133,0.203,0.286
"Coweeman",2010,0.09,0.031,0.04,0.088,0.159
"Kalama",2010,0.953,0.025,0.89,0.957,0.989
"Lower Lewis",2010,0.121,0.087,0.016,0.1,0.346
"Upper NF Lewis",2010,0.675,0.25,0.121,0.734,0.983
"Cedar",2010,0.322,0.026,0.272,0.322,0.374
"EF Lewis",2010,0.243,0.093,0.088,0.235,0.445
"Salmon Creek",2010,0.136,0.157,0.003,0.074,0.599
"Washougal",2010,0.406,0.089,0.237,0.404,0.584
"Lower Gorge",2010,0.268,0.068,0.146,0.264,0.407
"Duncan_Above Weir",2010,0.028,0.025,0.003,0.02,0.094
"Grays_Chinook",2011,0.927,0.023,0.874,0.93,0.965
"Elochoman_Skamokawa",2011,0.586,0.09,0.405,0.59,0.754
"Abernathy",2011,0.183,0.035,0.119,0.182,0.255
"Abernathy_Above AFTC",2011,0.188,0.036,0.123,0.186,0.265
"Mill",2011,0.188,0.037,0.124,0.185,0.264
"Germany",2011,0.189,0.037,0.122,0.187,0.268
"Coal",2011,0.188,0.036,0.121,0.186,0.263
"Upper Cowlitz and Cispus",2011,0.607,0.006,0.596,0.608,0.617
"Tilton",2011,0.689,0.012,0.664,0.69,0.71
"Lower Cowlitz",2011,0.135,0.096,0.019,0.112,0.376
"Delameter_Above Weir",2011,0.045,0.06,0.001,0.024,0.223
"Lacamas_Above Weir",2011,0.194,0.2,0.006,0.121,0.745
"Olequa_Above Weir",2011,0.053,0.053,0.004,0.036,0.2
"Ostrander_Above Weir",2011,0.147,0.146,0.007,0.097,0.543
"Green",2011,0.177,0.087,0.047,0.164,0.381
"Upper NF Toutle",2011,0.001,0.001,0,0,0.005
"NF_MS Toutle",2011,0.314,0.171,0.055,0.292,0.693
"SF Toutle",2011,0.142,0.079,0.031,0.125,0.337
"Coweeman",2011,0.051,0.023,0.017,0.048,0.105
"Kalama",2011,0.879,0.084,0.664,0.9,0.977
"Lower Lewis",2011,0.196,0.071,0.081,0.189,0.357
"Upper NF Lewis",2011,0.724,0.197,0.255,0.772,0.969
"Cedar",2011,0.25,0.014,0.224,0.25,0.278
"EF Lewis",2011,0.071,0.045,0.013,0.061,0.181
"Salmon Creek",2011,0.083,0.089,0.003,0.053,0.335
"Washougal",2011,0.124,0.071,0.026,0.11,0.298
"Lower Gorge",2011,0.148,0.089,0.03,0.129,0.367
"Duncan_Above Weir",2011,0.033,0.025,0.005,0.027,0.099
"Grays_Chinook",2012,0.432,0.123,0.203,0.428,0.674
"Elochoman_Skamokawa",2012,0.292,0.115,0.101,0.282,0.547
"Abernathy",2012,0.026,0.011,0.009,0.024,0.051
"Abernathy_Above AFTC",2012,0.026,0.011,0.009,0.024,0.052
"Mill",2012,0.026,0.011,0.009,0.024,0.051
"Germany",2012,0.026,0.011,0.01,0.024,0.052
"Coal",2012,0.026,0.011,0.009,0.025,0.051
"Upper Cowlitz and Cispus",2012,0.58,0.009,0.562,0.581,0.598
"Tilton",2012,0.739,0.012,0.714,0.74,0.759
"Lower Cowlitz",2012,0.265,0.168,0.039,0.232,0.657
"Delameter_Above Weir",2012,0.034,0.048,0.001,0.017,0.172
"Lacamas_Above Weir",2012,0.138,0.138,0.009,0.092,0.531
"Olequa_Above Weir",2012,0.026,0.028,0.002,0.017,0.105
"Ostrander_Above Weir",2012,0.079,0.095,0.003,0.045,0.355
"Green",2012,0.166,0.079,0.048,0.154,0.349
"Upper NF Toutle",2012,0,0.001,0,0,0.003
"NF_MS Toutle",2012,0.28,0.135,0.068,0.267,0.583
"SF Toutle",2012,0.126,0.063,0.034,0.115,0.282
"Coweeman",2012,0.047,0.032,0.009,0.039,0.131
"Kalama",2012,0.836,0.074,0.66,0.846,0.949
"Lower Lewis",2012,0.114,0.063,0.028,0.103,0.264
"Upper NF Lewis",2012,0.798,0.03,0.736,0.799,0.854
"Cedar",2012,0.089,0.046,0.024,0.081,0.198
"EF Lewis",2012,0.08,0.043,0.02,0.071,0.185
"Salmon Creek",2012,0.07,0.065,0.005,0.05,0.256
"Washougal",2012,0.136,0.071,0.034,0.124,0.306
"Lower Gorge",2012,0.165,0.08,0.047,0.154,0.351
"Duncan_Above Weir",2012,0.143,0.084,0.026,0.127,0.347
"Grays_Chinook",2013,0.644,0.057,0.529,0.646,0.746
"Elochoman_Skamokawa",2013,0.391,0.092,0.222,0.389,0.574
"Abernathy",2013,0.076,0.028,0.032,0.073,0.139
"Abernathy_Above AFTC",2013,0.073,0.026,0.031,0.069,0.132
"Mill",2013,0.069,0.026,0.03,0.066,0.128
"Germany",2013,0.074,0.026,0.032,0.071,0.135
"Coal",2013,0.074,0.027,0.032,0.07,0.135
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.996,0.998,0.999
"Tilton",2013,0.585,0.015,0.551,0.586,0.611
"Lower Cowlitz",2013,0.426,0.065,0.302,0.427,0.556
"Delameter_Above Weir",2013,0.019,0.018,0.002,0.014,0.071
"Lacamas_Above Weir",2013,0.074,0.029,0.027,0.07,0.142
"Olequa_Above Weir",2013,0.014,0.01,0.002,0.011,0.041
"Ostrander_Above Weir",2013,0.028,0.022,0.003,0.022,0.087
"Green",2013,0.147,0.066,0.046,0.138,0.298
"Upper NF Toutle",2013,0,0.001,0,0,0.002
"NF_MS Toutle",2013,0.326,0.108,0.14,0.321,0.553
"SF Toutle",2013,0.147,0.052,0.063,0.142,0.264
"Coweeman",2013,0.131,0.049,0.051,0.126,0.242
"Kalama",2013,0.854,0.075,0.674,0.868,0.957
"Lower Lewis",2013,0.352,0.093,0.183,0.348,0.546
"Upper NF Lewis",2013,0.995,0.001,0.994,0.995,0.997
"Cedar",2013,0.274,0.05,0.182,0.273,0.38
"EF Lewis",2013,0.093,0.035,0.038,0.089,0.169
"Salmon Creek",2013,0.036,0.037,0.002,0.023,0.144
"Washougal",2013,0.349,0.1,0.169,0.345,0.557
"Lower Gorge",2013,0.237,0.096,0.081,0.227,0.449
"Duncan_Above Weir",2013,0.081,0.068,0.009,0.061,0.26
"Grays_Chinook",2014,0.408,0.08,0.254,0.408,0.567
"Elochoman_Skamokawa",2014,0.357,0.043,0.275,0.357,0.442
"Abernathy",2014,0.119,0.015,0.091,0.119,0.15
"Abernathy_Above AFTC",2014,0.122,0.015,0.094,0.121,0.152
"Mill",2014,0.121,0.015,0.093,0.12,0.153
"Germany",2014,0.12,0.015,0.093,0.12,0.152
"Coal",2014,0.121,0.015,0.093,0.12,0.151
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Tilton",2014,0.354,0.007,0.339,0.354,0.367
"Lower Cowlitz",2014,0.113,0.069,0.022,0.1,0.288
"Delameter_Above Weir",2014,0.021,0.008,0.009,0.02,0.039
"Lacamas_Above Weir",2014,0.036,0.008,0.022,0.036,0.054
"Olequa_Above Weir",2014,0.03,0.007,0.019,0.03,0.044
"Ostrander_Above Weir",2014,0.03,0.008,0.016,0.029,0.048
"Green",2014,0.297,0.04,0.223,0.296,0.379
"Upper NF Toutle",2014,0,0.001,0,0,0.002
"NF_MS Toutle",2014,0.363,0.058,0.254,0.361,0.479
"SF Toutle",2014,0.193,0.023,0.152,0.192,0.24
"Coweeman",2014,0.161,0.031,0.104,0.159,0.228
"Kalama",2014,0.895,0.027,0.837,0.897,0.941
"Lower Lewis",2014,0.39,0.049,0.298,0.389,0.487
"Upper NF Lewis",2014,0.923,0.003,0.917,0.923,0.928
"Cedar",2014,0.054,0.028,0.015,0.049,0.121
"EF Lewis",2014,0.18,0.061,0.08,0.174,0.312
"Salmon Creek",2014,0.025,0.024,0.002,0.017,0.09
"Washougal",2014,0.682,0.054,0.572,0.685,0.783
"Lower Gorge",2014,0.274,0.082,0.13,0.268,0.454
"Duncan_Above Weir",2014,0.049,0.028,0.01,0.043,0.119
"Grays_Chinook",2015,0.468,0.116,0.245,0.468,0.69
"Elochoman_Skamokawa",2015,0.371,0.106,0.181,0.367,0.593
"Abernathy",2015,0.074,0.028,0.03,0.071,0.138
"Abernathy_Above AFTC",2015,0.104,0.033,0.048,0.101,0.179
"Mill",2015,0.073,0.028,0.027,0.069,0.137
"Germany",2015,0.074,0.028,0.03,0.071,0.138
"Coal",2015,0.071,0.027,0.029,0.067,0.131
"Upper Cowlitz and Cispus",2015,0.711,0.014,0.683,0.712,0.739
"Tilton",2015,0.528,0.016,0.492,0.53,0.558
"Lower Cowlitz",2015,0.15,0.123,0.013,0.112,0.476
"Delameter_Above Weir",2015,0.063,0.033,0.017,0.056,0.14
"Lacamas_Above Weir",2015,0.031,0.025,0.004,0.024,0.102
"Olequa_Above Weir",2015,0.061,0.041,0.012,0.051,0.167
"Ostrander_Above Weir",2015,0.088,0.041,0.027,0.081,0.187
"Green",2015,0.43,0.121,0.203,0.431,0.661
"Upper NF Toutle",2015,0,0,0,0,0.001
"NF_MS Toutle",2015,0.67,0.119,0.41,0.682,0.871
"SF Toutle",2015,0.493,0.079,0.339,0.492,0.647
"Coweeman",2015,0.197,0.075,0.073,0.189,0.359
"Kalama",2015,0.876,0.041,0.787,0.881,0.944
"Lower Lewis",2015,0.294,0.149,0.069,0.274,0.618
"Upper NF Lewis",2015,0.97,0.003,0.964,0.97,0.975
"Cedar",2015,0.06,0.037,0.012,0.052,0.153
"EF Lewis",2015,0.207,0.105,0.053,0.19,0.449
"Salmon Creek",2015,0.046,0.055,0.002,0.027,0.204
"Washougal",2015,0.621,0.109,0.397,0.626,0.823
"Lower Gorge",2015,0.146,0.08,0.034,0.13,0.333
"Duncan_Above Weir",2015,0.051,0.049,0.004,0.035,0.186
"Grays_Chinook",2016,0.571,0.106,0.352,0.576,0.762
"Elochoman_Skamokawa",2016,0.351,0.113,0.151,0.345,0.582
"Abernathy",2016,0.131,0.022,0.091,0.13,0.176
"Abernathy_Above AFTC",2016,0.132,0.022,0.092,0.131,0.177
"Mill",2016,0.128,0.022,0.088,0.127,0.174
"Germany",2016,0.129,0.021,0.089,0.128,0.172
"Coal",2016,0.13,0.022,0.088,0.129,0.174
"Upper Cowlitz and Cispus",2016,0.906,0.004,0.899,0.906,0.913
"Tilton",2016,0.618,0.014,0.588,0.619,0.641
"Lower Cowlitz",2016,0.17,0.121,0.02,0.141,0.464
"Delameter_Above Weir",2016,0.156,0.046,0.078,0.151,0.255
"Lacamas_Above Weir",2016,0.012,0.011,0.001,0.008,0.041
"Olequa_Above Weir",2016,0.032,0.025,0.004,0.025,0.1
"Ostrander_Above Weir",2016,0.048,0.026,0.013,0.043,0.111
"Green",2016,0.748,0.04,0.667,0.749,0.824
"Upper NF Toutle",2016,0,0,0,0,0.001
"NF_MS Toutle",2016,0.499,0.162,0.185,0.498,0.797
"SF Toutle",2016,0.23,0.064,0.118,0.226,0.368
"Coweeman",2016,0.164,0.071,0.053,0.154,0.323
"Kalama",2016,0.649,0.164,0.287,0.672,0.903
"Lower Lewis",2016,0.358,0.116,0.146,0.352,0.588
"Upper NF Lewis",2016,0.835,0.005,0.825,0.834,0.843
"Cedar",2016,0.083,0.031,0.033,0.079,0.155
"EF Lewis",2016,0.389,0.153,0.117,0.382,0.695
