"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.824,0.052,0.711,0.828,0.914
"Elochoman_Skamokawa",2010,0.725,0.069,0.582,0.729,0.848
"Abernathy",2010,0.122,0.022,0.082,0.121,0.168
"Abernathy_Above AFTC",2010,0.122,0.022,0.082,0.121,0.169
"Mill",2010,0.122,0.022,0.082,0.12,0.169
"Germany",2010,0.122,0.022,0.081,0.121,0.169
"Upper Cowlitz and Cispus",2010,0.875,0.003,0.869,0.875,0.879
"Tilton",2010,0.698,0.015,0.664,0.699,0.725
"Lower Cowlitz",2010,0.105,0.073,0.014,0.088,0.283
"Delameter_Above Weir",2010,0.115,0.16,0.001,0.048,0.609
"Lacamas_Above Weir",2010,0.272,0.263,0.005,0.175,0.903
"Olequa_Above Weir",2010,0.117,0.074,0.018,0.102,0.3
"Ostrander_Above Weir",2010,0.324,0.223,0.024,0.28,0.814
"Green",2010,0.664,0.03,0.604,0.664,0.721
"Upper NF Toutle",2010,0.002,0.002,0,0.001,0.008
"NF_MS Toutle",2010,0.422,0.272,0.027,0.389,0.929
"SF Toutle",2010,0.205,0.04,0.133,0.203,0.288
"Coweeman",2010,0.092,0.032,0.04,0.088,0.162
"Kalama",2010,0.98,0.017,0.936,0.985,0.998
"Lower Lewis",2010,0.106,0.082,0.012,0.084,0.32
"Upper NF Lewis",2010,0.658,0.266,0.097,0.726,0.985
"Cedar",2010,0.321,0.027,0.27,0.321,0.375
"EF Lewis",2010,0.265,0.1,0.099,0.256,0.482
"Salmon Creek",2010,0.16,0.187,0.003,0.083,0.704
"Washougal",2010,0.402,0.092,0.232,0.4,0.587
"Lower Gorge",2010,0.277,0.069,0.154,0.274,0.423
"Duncan_Above Weir",2010,0.026,0.025,0.002,0.018,0.093
"Grays_Chinook",2011,0.952,0.02,0.905,0.955,0.983
"Elochoman_Skamokawa",2011,0.564,0.099,0.368,0.565,0.755
"Abernathy",2011,0.192,0.037,0.125,0.19,0.269
"Abernathy_Above AFTC",2011,0.192,0.037,0.126,0.19,0.269
"Mill",2011,0.192,0.037,0.127,0.19,0.269
"Germany",2011,0.192,0.037,0.126,0.19,0.271
"Upper Cowlitz and Cispus",2011,0.608,0.005,0.597,0.608,0.618
"Tilton",2011,0.688,0.012,0.663,0.689,0.709
"Lower Cowlitz",2011,0.133,0.112,0.011,0.1,0.434
"Delameter_Above Weir",2011,0.058,0.081,0.001,0.027,0.299
"Lacamas_Above Weir",2011,0.218,0.227,0.005,0.129,0.82
"Olequa_Above Weir",2011,0.05,0.055,0.003,0.031,0.201
"Ostrander_Above Weir",2011,0.202,0.199,0.007,0.13,0.743
"Green",2011,0.254,0.144,0.047,0.229,0.593
"Upper NF Toutle",2011,0.001,0.002,0,0,0.006
"NF_MS Toutle",2011,0.392,0.213,0.058,0.37,0.824
"SF Toutle",2011,0.157,0.093,0.03,0.138,0.386
"Coweeman",2011,0.047,0.023,0.014,0.044,0.101
"Kalama",2011,0.934,0.077,0.71,0.96,0.996
"Lower Lewis",2011,0.19,0.069,0.077,0.182,0.344
"Upper NF Lewis",2011,0.71,0.215,0.204,0.765,0.976
"Cedar",2011,0.251,0.014,0.225,0.251,0.278
"EF Lewis",2011,0.066,0.046,0.01,0.054,0.182
"Salmon Creek",2011,0.088,0.097,0.003,0.054,0.37
"Washougal",2011,0.101,0.066,0.018,0.087,0.266
"Lower Gorge",2011,0.129,0.087,0.019,0.107,0.349
"Duncan_Above Weir",2011,0.03,0.024,0.004,0.024,0.091
"Grays_Chinook",2012,0.439,0.144,0.177,0.435,0.728
"Elochoman_Skamokawa",2012,0.339,0.147,0.098,0.325,0.652
"Abernathy",2012,0.023,0.011,0.008,0.022,0.049
"Abernathy_Above AFTC",2012,0.023,0.011,0.008,0.022,0.049
"Mill",2012,0.023,0.011,0.008,0.022,0.048
"Germany",2012,0.023,0.011,0.008,0.022,0.048
"Upper Cowlitz and Cispus",2012,0.582,0.009,0.563,0.582,0.6
"Tilton",2012,0.741,0.011,0.717,0.742,0.761
"Lower Cowlitz",2012,0.264,0.19,0.029,0.217,0.721
"Delameter_Above Weir",2012,0.04,0.062,0.001,0.018,0.216
"Lacamas_Above Weir",2012,0.152,0.157,0.007,0.095,0.604
"Olequa_Above Weir",2012,0.024,0.028,0.001,0.014,0.101
"Ostrander_Above Weir",2012,0.106,0.13,0.003,0.056,0.501
"Green",2012,0.178,0.092,0.044,0.163,0.396
"Upper NF Toutle",2012,0.001,0.001,0,0,0.003
"NF_MS Toutle",2012,0.276,0.144,0.06,0.255,0.606
"SF Toutle",2012,0.12,0.062,0.031,0.11,0.266
"Coweeman",2012,0.041,0.031,0.006,0.033,0.123
"Kalama",2012,0.875,0.078,0.686,0.891,0.979
"Lower Lewis",2012,0.102,0.062,0.02,0.089,0.259
"Upper NF Lewis",2012,0.8,0.031,0.737,0.801,0.857
"Cedar",2012,0.073,0.042,0.017,0.065,0.177
"EF Lewis",2012,0.07,0.039,0.017,0.062,0.164
"Salmon Creek",2012,0.076,0.071,0.004,0.053,0.268
"Washougal",2012,0.12,0.07,0.025,0.107,0.292
"Lower Gorge",2012,0.168,0.087,0.042,0.154,0.369
"Duncan_Above Weir",2012,0.168,0.09,0.038,0.154,0.379
"Grays_Chinook",2013,0.63,0.059,0.509,0.632,0.739
"Elochoman_Skamokawa",2013,0.414,0.096,0.236,0.411,0.611
"Abernathy",2013,0.075,0.028,0.03,0.071,0.139
"Abernathy_Above AFTC",2013,0.074,0.028,0.03,0.071,0.137
"Mill",2013,0.075,0.027,0.031,0.072,0.137
"Germany",2013,0.075,0.027,0.032,0.071,0.138
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.997,0.998,0.999
"Tilton",2013,0.586,0.016,0.551,0.587,0.613
"Lower Cowlitz",2013,0.434,0.066,0.307,0.433,0.564
"Delameter_Above Weir",2013,0.02,0.02,0.001,0.013,0.073
"Lacamas_Above Weir",2013,0.075,0.03,0.027,0.071,0.146
"Olequa_Above Weir",2013,0.012,0.01,0.001,0.009,0.039
"Ostrander_Above Weir",2013,0.032,0.028,0.003,0.023,0.107
"Green",2013,0.116,0.054,0.035,0.108,0.243
"Upper NF Toutle",2013,0,0.001,0,0,0.002
"NF_MS Toutle",2013,0.308,0.107,0.124,0.3,0.544
"SF Toutle",2013,0.144,0.054,0.059,0.138,0.267
"Coweeman",2013,0.125,0.049,0.047,0.118,0.239
"Kalama",2013,0.863,0.092,0.629,0.885,0.978
"Lower Lewis",2013,0.36,0.097,0.185,0.355,0.56
"Upper NF Lewis",2013,0.996,0.001,0.994,0.996,0.997
"Cedar",2013,0.291,0.053,0.193,0.289,0.4
"EF Lewis",2013,0.09,0.034,0.036,0.086,0.168
"Salmon Creek",2013,0.033,0.037,0.002,0.021,0.137
"Washougal",2013,0.323,0.102,0.142,0.317,0.539
"Lower Gorge",2013,0.22,0.092,0.072,0.209,0.428
"Duncan_Above Weir",2013,0.19,0.146,0.02,0.151,0.568
"Grays_Chinook",2014,0.359,0.077,0.215,0.357,0.515
"Elochoman_Skamokawa",2014,0.345,0.044,0.263,0.344,0.434
"Abernathy",2014,0.121,0.015,0.093,0.121,0.153
"Abernathy_Above AFTC",2014,0.122,0.015,0.093,0.121,0.153
"Mill",2014,0.121,0.015,0.093,0.121,0.152
"Germany",2014,0.121,0.015,0.093,0.12,0.152
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Tilton",2014,0.355,0.007,0.341,0.355,0.368
"Lower Cowlitz",2014,0.105,0.071,0.015,0.088,0.285
"Delameter_Above Weir",2014,0.026,0.011,0.008,0.024,0.052
"Lacamas_Above Weir",2014,0.04,0.011,0.022,0.039,0.065
"Olequa_Above Weir",2014,0.03,0.009,0.015,0.029,0.049
"Ostrander_Above Weir",2014,0.037,0.012,0.018,0.036,0.063
"Green",2014,0.301,0.041,0.225,0.299,0.385
"Upper NF Toutle",2014,0,0.001,0,0,0.002
"NF_MS Toutle",2014,0.356,0.058,0.25,0.354,0.476
"SF Toutle",2014,0.192,0.023,0.148,0.192,0.24
"Coweeman",2014,0.168,0.033,0.108,0.166,0.238
"Kalama",2014,0.906,0.027,0.847,0.908,0.951
"Lower Lewis",2014,0.397,0.05,0.302,0.396,0.497
"Upper NF Lewis",2014,0.923,0.003,0.917,0.923,0.928
"Cedar",2014,0.058,0.031,0.015,0.053,0.132
"EF Lewis",2014,0.19,0.066,0.082,0.184,0.335
"Salmon Creek",2014,0.021,0.023,0.001,0.014,0.085
"Washougal",2014,0.711,0.055,0.596,0.714,0.812
"Lower Gorge",2014,0.309,0.093,0.146,0.304,0.507
"Duncan_Above Weir",2014,0.23,0.128,0.043,0.21,0.528
"Grays_Chinook",2015,0.647,0.149,0.323,0.662,0.898
"Elochoman_Skamokawa",2015,0.463,0.13,0.219,0.46,0.718
"Abernathy",2015,0.068,0.027,0.027,0.065,0.131
"Abernathy_Above AFTC",2015,0.104,0.034,0.048,0.1,0.178
"Mill",2015,0.068,0.027,0.025,0.064,0.131
"Germany",2015,0.067,0.027,0.025,0.064,0.131
"Upper Cowlitz and Cispus",2015,0.715,0.013,0.688,0.715,0.74
"Tilton",2015,0.532,0.016,0.496,0.533,0.56
"Lower Cowlitz",2015,0.126,0.12,0.008,0.086,0.457
"Delameter_Above Weir",2015,0.091,0.049,0.022,0.082,0.212
"Lacamas_Above Weir",2015,0.034,0.029,0.004,0.025,0.113
"Olequa_Above Weir",2015,0.09,0.061,0.015,0.075,0.248
"Ostrander_Above Weir",2015,0.086,0.052,0.018,0.075,0.214
"Green",2015,0.521,0.161,0.213,0.524,0.819
"Upper NF Toutle",2015,0,0.001,0,0,0.001
"NF_MS Toutle",2015,0.642,0.134,0.363,0.652,0.871
"SF Toutle",2015,0.489,0.082,0.33,0.488,0.65
"Coweeman",2015,0.225,0.088,0.083,0.215,0.426
"Kalama",2015,0.892,0.043,0.794,0.898,0.961
