"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,433,180,166,408,865
"EF Lewis",2010,659,368,179,583,1581
"Elochoman, Skamokawa",2010,1940,534,1143,1856,3220
"Grays, Chinook",2010,2093,655,1122,1988,3667
"Kalama",2010,560,234,249,514,1133
"Lower Cowlitz",2010,1446,1110,358,1148,4236
"Lower Gorge",2010,221,101,87,201,465
"Mill, Abernathy, Germany, Coal",2010,163,49,96,154,285
"NF Lewis",2010,822,163,613,791,1232
"NF Toutle",2010,2210,644,1297,2101,3714
"Salmon Creek",2010,519,730,8,244,2473
"SF Toutle",2010,487,214,199,445,1019
"Tilton",2010,2085,142,1787,2088,2346
"Upper Cowlitz and Cispus",2010,19331,276,18761,19339,19849
"Washougal",2010,457,184,193,428,897
"Coweeman",2011,192,101,55,171,440
"EF Lewis",2011,149,120,21,116,474
"Elochoman, Skamokawa",2011,887,261,475,855,1500
"Grays, Chinook",2011,1708,429,1073,1642,2731
"Kalama",2011,354,162,150,324,737
"Lower Cowlitz",2011,1002,1351,155,687,3667
"Lower Gorge",2011,82,63,14,65,244
"Mill, Abernathy, Germany, Coal",2011,147,48,85,139,261
"NF Lewis",2011,470,124,337,441,770
"NF Toutle",2011,526,345,124,450,1382
"Salmon Creek",2011,185,237,5,105,830
"SF Toutle",2011,262,203,40,208,806
"Tilton",2011,4356,233,3867,4369,4787
"Upper Cowlitz and Cispus",2011,11800,253,11274,11811,12267
"Washougal",2011,78,56,13,63,223
"Coweeman",2012,143,110,22,113,435
"EF Lewis",2012,219,152,44,180,612
"Elochoman, Skamokawa",2012,309,160,77,281,697
"Grays, Chinook",2012,637,269,222,599,1260
"Kalama",2012,263,102,121,245,508
"Lower Cowlitz",2012,967,1302,160,719,3099
"Lower Gorge",2012,100,58,28,87,246
"Mill, Abernathy, Germany, Coal",2012,14,5,7,14,26
"NF Lewis",2012,285,74,181,273,466
"NF Toutle",2012,431,241,137,380,1046
"Salmon Creek",2012,123,133,6,81,483
"SF Toutle",2012,288,190,62,243,770
"Tilton",2012,3643,189,3250,3651,3986
"Upper Cowlitz and Cispus",2012,2234,67,2096,2237,2358
"Washougal",2012,73,48,14,62,195
"Coweeman",2013,554,257,182,510,1177
"EF Lewis",2013,285,151,92,253,662
"Elochoman, Skamokawa",2013,587,192,278,566,1020
"Grays, Chinook",2013,1347,327,858,1294,2124
"Kalama",2013,354,132,164,333,671
"Lower Cowlitz",2013,1363,543,668,1265,2615
"Lower Gorge",2013,188,95,59,170,424
"Mill, Abernathy, Germany, Coal",2013,60,16,34,59,96
"NF Lewis",2013,7551,191,7249,7530,7964
"NF Toutle",2013,724,384,283,643,1652
"Salmon Creek",2013,73,89,3,44,311
"SF Toutle",2013,612,343,185,537,1481
"Tilton",2013,3779,240,3273,3792,4212
"Upper Cowlitz and Cispus",2013,5844,269,5281,5858,6331
"Washougal",2013,268,114,103,249,541
"Coweeman",2014,1441,418,756,1396,2378
"EF Lewis",2014,997,493,320,903,2204
"Elochoman, Skamokawa",2014,1689,432,1033,1628,2709
"Grays, Chinook",2014,1801,494,992,1746,2908
"Kalama",2014,936,329,457,882,1718
"Lower Cowlitz",2014,1353,485,723,1250,2594
"Lower Gorge",2014,601,271,214,555,1252
"Mill, Abernathy, Germany, Coal",2014,355,36,289,354,430
"NF Lewis",2014,9202,397,8654,9134,10151
"NF Toutle",2014,2760,1036,1530,2543,5203
"Salmon Creek",2014,125,151,6,76,533
"SF Toutle",2014,2655,1150,1250,2398,5548
"Tilton",2014,4915,148,4610,4920,5190
"Upper Cowlitz and Cispus",2014,22597,303,21981,22605,23166
"Washougal",2014,1474,429,790,1425,2450
"Coweeman",2015,340,155,109,317,706
"EF Lewis",2015,189,129,34,157,525
"Elochoman, Skamokawa",2015,277,111,104,263,534
"Grays, Chinook",2015,469,151,209,457,794
"Kalama",2015,163,59,76,154,309
"Lower Cowlitz",2015,250,160,73,208,664
"Lower Gorge",2015,60,40,12,50,158
"Mill, Abernathy, Germany, Coal",2015,50,13,28,48,77
"NF Lewis",2015,3803,111,3620,3792,4049
"NF Toutle",2015,919,379,440,849,1781
"Salmon Creek",2015,48,71,1,24,234
"SF Toutle",2015,1280,542,580,1170,2640
"Tilton",2015,1557,94,1355,1562,1726
"Upper Cowlitz and Cispus",2015,943,40,863,944,1018
"Washougal",2015,277,95,125,266,496
"Coweeman",2016,602,295,172,554,1302
"EF Lewis",2016,923,495,213,841,2103
"Elochoman, Skamokawa",2016,558,243,189,523,1120
"Grays, Chinook",2016,981,275,506,960,1595
"Kalama",2016,251,124,64,235,535
"Lower Cowlitz",2016,517,358,129,418,1449
"Lower Gorge",2016,77,52,16,65,209
"Mill, Abernathy, Germany, Coal",2016,171,22,131,170,218
"NF Lewis",2016,6325,263,5916,6291,6934
"NF Toutle",2016,2622,659,1637,2528,4137
"Salmon Creek",2016,175,213,7,101,760
"SF Toutle",2016,847,408,320,767,1851
"Tilton",2016,4316,234,3831,4326,4734
"Upper Cowlitz and Cispus",2016,8841,256,8301,8854,9305
"Washougal",2016,764,225,420,734,1302
"Coweeman",2017,327,255,40,262,987
"EF Lewis",2017,867,399,316,792,1830
"Elochoman, Skamokawa",2017,325,203,58,283,833
"Grays, Chinook",2017,928,233,512,911,1435
"Kalama",2017,189,104,34,174,430
"Lower Cowlitz",2017,691,445,135,601,1759
"Lower Gorge",2017,135,98,22,109,384
"Mill, Abernathy, Germany, Coal",2017,79,14,54,78,108
"NF Lewis",2017,5231,327,4746,5175,6013
"NF Toutle",2017,499,276,138,443,1173
"Salmon Creek",2017,250,229,23,185,860
"SF Toutle",2017,202,194,17,143,730
"Tilton",2017,5234,154,4915,5242,5513
"Upper Cowlitz and Cispus",2017,6432,175,6070,6438,6762
"Washougal",2017,661,192,381,629,1134
"Coweeman",2018,762,635,75,578,2424
"EF Lewis",2018,294,180,70,254,739
"Elochoman, Skamokawa",2018,672,307,207,629,1400
"Grays, Chinook",2018,999,256,548,981,1556
"Kalama",2018,217,103,66,201,450
"Lower Cowlitz",2018,385,324,70,281,1259
"Lower Gorge",2018,170,90,48,152,389
"Mill, Abernathy, Germany, Coal",2018,177,29,127,175,238
"NF Lewis",2018,6975,419,6423,6887,8046
"NF Toutle",2018,480,268,126,429,1140
"Salmon Creek",2018,255,180,47,213,716
"SF Toutle",2018,186,201,13,121,759
"Tilton",2018,3156,113,2910,3163,3357
"Upper Cowlitz and Cispus",2018,5829,102,5622,5831,6020
"Washougal",2018,692,221,351,662,1223
"Coweeman",2019,1466,622,503,1381,2913
"EF Lewis",2019,297,213,51,244,844
"Elochoman, Skamokawa",2019,991,413,362,937,1924
"Grays, Chinook",2019,1364,491,455,1346,2400
"Kalama",2019,373,202,80,341,841
"Lower Cowlitz",2019,304,204,89,246,841
"Lower Gorge",2019,358,187,108,323,806
"Mill, Abernathy, Germany, Coal",2019,564,60,455,561,691
"NF Lewis",2019,4924,456,4282,4841,6051
"NF Toutle",2019,676,330,230,614,1502
"Salmon Creek",2019,368,284,54,293,1118
"SF Toutle",2019,335,217,72,287,873
"Tilton",2019,5675,175,5309,5687,5990
"Upper Cowlitz and Cispus",2019,6163,149,5850,6171,6441
"Washougal",2019,864,288,431,822,1564
"Coweeman",2020,926,468,265,845,2067
"EF Lewis",2020,343,237,62,286,959
"Elochoman, Skamokawa",2020,568,342,111,499,1414
"Grays, Chinook",2020,1042,466,307,985,2088
"Kalama",2020,618,277,270,556,1341
"Lower Cowlitz",2020,470,321,150,374,1369
"Lower Gorge",2020,145,135,14,104,517
"Mill, Abernathy, Germany, Coal",2020,203,82,81,191,396
"NF Lewis",2020,6156,512,5393,6086,7377
"NF Toutle",2020,521,264,188,466,1193
"Salmon Creek",2020,382,288,53,309,1124
"SF Toutle",2020,195,142,36,159,555
"Tilton",2020,10885,259,10341,10899,11355
"Upper Cowlitz and Cispus",2020,12370,201,11946,12378,12738
"Washougal",2020,1099,352,599,1039,1932
"Coweeman",2021,1408,549,595,1323,2722
"EF Lewis",2021,397,206,128,354,923
"Elochoman, Skamokawa",2021,1459,382,879,1399,2350
"Grays, Chinook",2021,1528,384,954,1474,2439
"Kalama",2021,773,396,318,681,1769
"Lower Cowlitz",2021,1077,467,462,985,2235
"Lower Gorge",2021,84,72,10,64,267
"Mill, Abernathy, Germany, Coal",2021,243,53,151,238,359
"NF Lewis",2021,8217,712,7273,8101,9820
"NF Toutle",2021,602,543,148,484,1705
"Salmon Creek",2021,181,196,10,119,722
"SF Toutle",2021,422,228,136,373,1006
"Tilton",2021,9218,1173,6482,9392,11004
"Upper Cowlitz and Cispus",2021,18474,1501,14638,18799,20426
"Washougal",2021,262,156,60,227,657
