"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.825,0.052,0.712,0.829,0.914
"Elochoman_Skamokawa",2010,0.723,0.069,0.577,0.727,0.847
"Abernathy",2010,0.122,0.022,0.083,0.121,0.169
"Abernathy_Above AFTC",2010,0.122,0.022,0.082,0.121,0.169
"Mill",2010,0.122,0.022,0.082,0.121,0.169
"Germany",2010,0.122,0.022,0.082,0.121,0.17
"Upper Cowlitz and Cispus",2010,0.875,0.003,0.87,0.875,0.879
"Tilton",2010,0.698,0.015,0.665,0.699,0.726
"Lower Cowlitz",2010,0.106,0.073,0.015,0.09,0.291
"Delameter_Above Weir",2010,0.11,0.154,0.001,0.046,0.585
"Lacamas_Above Weir",2010,0.263,0.258,0.005,0.168,0.888
"Olequa_Above Weir",2010,0.116,0.074,0.018,0.1,0.297
"Ostrander_Above Weir",2010,0.313,0.219,0.024,0.268,0.808
"Green",2010,0.664,0.03,0.604,0.664,0.72
"Upper NF Toutle",2010,0.002,0.002,0,0.001,0.008
"NF_MS Toutle",2010,0.417,0.265,0.031,0.387,0.919
"SF Toutle",2010,0.205,0.04,0.134,0.204,0.29
"Coweeman",2010,0.091,0.031,0.04,0.088,0.161
"Kalama",2010,0.98,0.017,0.936,0.984,0.998
"Lower Lewis",2010,0.108,0.084,0.012,0.086,0.324
"Upper NF Lewis",2010,0.66,0.262,0.095,0.726,0.985
"Cedar",2010,0.321,0.026,0.271,0.32,0.375
"EF Lewis",2010,0.26,0.099,0.095,0.25,0.477
"Salmon Creek",2010,0.153,0.18,0.003,0.08,0.674
"Washougal",2010,0.4,0.093,0.225,0.398,0.589
"Lower Gorge",2010,0.276,0.069,0.153,0.272,0.421
"Duncan_Above Weir",2010,0.026,0.024,0.002,0.018,0.092
"Grays_Chinook",2011,0.95,0.021,0.901,0.953,0.982
"Elochoman_Skamokawa",2011,0.564,0.097,0.372,0.564,0.748
"Abernathy",2011,0.191,0.036,0.124,0.189,0.267
"Abernathy_Above AFTC",2011,0.191,0.037,0.125,0.188,0.268
"Mill",2011,0.191,0.037,0.125,0.189,0.268
"Germany",2011,0.191,0.036,0.126,0.189,0.267
"Upper Cowlitz and Cispus",2011,0.608,0.006,0.596,0.608,0.618
"Tilton",2011,0.689,0.012,0.663,0.69,0.71
"Lower Cowlitz",2011,0.138,0.111,0.013,0.106,0.433
"Delameter_Above Weir",2011,0.056,0.079,0.001,0.026,0.289
"Lacamas_Above Weir",2011,0.21,0.218,0.005,0.127,0.797
"Olequa_Above Weir",2011,0.051,0.054,0.003,0.033,0.203
"Ostrander_Above Weir",2011,0.194,0.192,0.007,0.126,0.723
"Green",2011,0.258,0.142,0.054,0.235,0.591
"Upper NF Toutle",2011,0.001,0.002,0,0,0.006
"NF_MS Toutle",2011,0.388,0.209,0.063,0.369,0.822
"SF Toutle",2011,0.157,0.091,0.033,0.138,0.378
"Coweeman",2011,0.048,0.023,0.015,0.044,0.1
"Kalama",2011,0.935,0.076,0.725,0.961,0.996
"Lower Lewis",2011,0.188,0.068,0.075,0.181,0.337
"Upper NF Lewis",2011,0.714,0.214,0.211,0.767,0.976
"Cedar",2011,0.251,0.014,0.225,0.251,0.278
"EF Lewis",2011,0.068,0.047,0.012,0.058,0.185
"Salmon Creek",2011,0.087,0.095,0.003,0.054,0.353
